229	Cerivastatin
230	Certoparin
231	Cetirizine
232	Chloral Hydrate
233	Chlorambucil
234	Chloramphenicol
235	Chlorcyclizine
236	Chlordiazepoxide
237	Chlorhexidine
238	Chloroquine
239	Chlorpheniramine
240	Chlorpromazine
241	Chlorpropamide
242	Chlorprothixene
243	Chlorthalidone
244	Chlorzoxazone
245	Cholestyramine
246	Cholic Acid
247	Choline C-11
248	Chromic Chloride
249	Chromium
250	Chromium Nicotinate
251	Chromium Picolinate
252	Chymotrypsin
253	Cilazapril
254	Cilostazol
255	Cimetidine
256	Cinacalcet
257	Cinolazepam
258	Ciprofloxacin
259	Cisapride
260	Cisplatin
261	Citalopram
262	Cladribine
263	Clarithromycin
264	Clavulanic Acid
265	Clemastine
266	Clidinium
267	Clindamycin
268	Clobazam
269	Clodronic Acid
270	Clofarabine
271	Clofazimine
272	Clofedanol
273	Clofibrate
274	Clomifene
275	Clomipramine
276	Clonazepam
277	Clonidine
278	Clopidogrel
279	Clorazepic Acid
280	Clorindione
281	Cloxacillin
282	Cloxazolam
283	Clozapine
284	Cobicistat
285	Cobimetinib
286	Cocarboxylase
287	Codeine
288	Coenzyme M
289	Colchicine
290	Colesevelam
