drug_name,food_name
Enalapril,ephedra
Enalapril,natural licorice
Enalapril,potassium-rich foods
Enasidenib,grapefruit
Enasidenib,st. john's wort
Encorafenib,grapefruit
Encorafenib,st. john's wort
Enoxaparin,anticoagulant herbs
Enoxaparin,garlic
Enoxaparin,ginger
Enoxaparin,ginkgo biloba
Entrectinib,grapefruit
Entrectinib,st. john's wort
Enzalutamide,st. john's wort
Eplerenone,grapefruit
Eplontersen,vitamin A
Epoprostenol,anticoagulant herbs
Epoprostenol,garlic
Epoprostenol,ginger
Epoprostenol,ginkgo biloba
Eptifibatide,anticoagulant herbs
Eptifibatide,garlic
Eptifibatide,ginger
Eptifibatide,ginkgo biloba
Eravacycline,st. john's wort
Erdafitinib,grapefruit
Erdafitinib,st. john's wort
Erlotinib,grapefruit
Erlotinib,st. john's wort
Ertugliflozin,alcohol
Erythrityl tetranitrate,alcohol
Erythromycin,grapefruit
Erythropoietin,iron
Erythropoietin,iron supplements
Escitalopram,alcohol
Esketamine,alcohol
Estazolam,alcohol
Esterified estrogens,grapefruit
Esterified estrogens,st. john's wort
Estradiol acetate,grapefruit
Estradiol acetate,st. john's wort
Estradiol cypionate,grapefruit
Estradiol cypionate,st. john's wort
Estradiol valerate,grapefruit
Estradiol valerate,st. john's wort
Estramustine,dairy
Estramustine,milk
Estrone,alcohol
Estrone,grapefruit
Eszopiclone,alcohol
Eszopiclone,high-fat foods
Ethchlorvynol,alcohol
Ethinylestradiol,st. john's wort
Ethosuximide,alcohol
Ethyl biscoumacetate,anticoagulant herbs
Ethyl biscoumacetate,garlic
Ethyl biscoumacetate,ginger
Ethyl biscoumacetate,ginkgo biloba
Etodolac,alcohol
Etonogestrel,alcohol
Etonogestrel,caffeine
Etoposide,grapefruit
Etoposide,st. john's wort
Etravirine,grapefruit
Etravirine,st. john's wort
Etretinate,alcohol
Everolimus,grapefruit
Everolimus,st. john's wort
Famotidine,alcohol
Famotidine,caffeine
Fedratinib,grapefruit
Fedratinib,st. john's wort
Felbamate,alcohol
Felodipine,grapefruit
Fenoprofen,alcohol
Fentanyl,alcohol
Ferric cation,dairy
Ferric cation,milk
Ferrous fumarate,caffeine
Ferrous fumarate,calcium supplements
Ferrous fumarate,calcium-rich foods
Ferrous fumarate,dairy
Ferrous fumarate,iron
Ferrous fumarate,milk
Ferrous gluconate,caffeine
Ferrous gluconate,calcium supplements
Ferrous gluconate,calcium-rich foods
Ferrous gluconate,dairy
Ferrous gluconate,iron
Ferrous gluconate,milk
Ferrous sulfate anhydrous,caffeine
Ferrous sulfate anhydrous,calcium supplements
Ferrous sulfate anhydrous,calcium-rich foods
Ferrous sulfate anhydrous,dairy
Ferrous sulfate anhydrous,iron
Ferrous sulfate anhydrous,milk
Ferulic acid,anticoagulant herbs
Ferulic acid,garlic
Ferulic acid,ginger
Ferulic acid,ginkgo biloba
Fexofenadine,apple
Fexofenadine,fruit juice
Fexofenadine,grapefruit
Fidanacogene elaparvovec,alcohol
Finerenone,grapefruit
Flavin adenine dinucleotide,alcohol
Flavin mononucleotide,alcohol
Fleroxacin,caffeine
Fleroxacin,dairy
Fleroxacin,milk
Flibanserin,alcohol
Flibanserin,grapefruit
Flibanserin,st. john's wort
Floctafenine,alcohol
Floctafenine,anticoagulant herbs
Floctafenine,garlic
Floctafenine,ginger
Floctafenine,ginkgo biloba
Fludiazepam,alcohol
Fludiazepam,caffeine
Fludiazepam,grapefruit
Fludrocortisone,high-salt foods
Fluindione,anticoagulant herbs
Fluindione,garlic
Fluindione,ginger
Fluindione,ginkgo biloba
Flunarizine,alcohol
Flunitrazepam,alcohol
Flunitrazepam,caffeine
Flunitrazepam,grapefruit
Fluoxetine,alcohol
Flupentixol,alcohol
Fluphenazine,alcohol
Flurazepam,alcohol
Flurbiprofen,alcohol
Fluspirilene,alcohol
Fluvoxamine,alcohol
Fluvoxamine,caffeine
Fluvoxamine,grapefruit
Fomepizole,alcohol
Fondaparinux,anticoagulant herbs
Fondaparinux,garlic
Fondaparinux,ginger
Fondaparinux,ginkgo biloba
Fondaparinux,ginseng
Fosamprenavir,alcohol
Fosamprenavir,high-fat foods
Fosaprepitant,grapefruit
Fosaprepitant,st. john's wort
Fosinopril,ephedra
Fosinopril,high-salt foods
Fosinopril,natural licorice
Fosinopril,potassium-rich foods
Fosnetupitant,st. john's wort
Fosphenytoin,alcohol
Fosphenytoin,st. john's wort
Fostamatinib,st. john's wort
Fostemsavir,st. john's wort
Furosemide,alcohol
Furosemide,natural licorice
Furosemide,orange juice
Furosemide,potassium-rich foods
GW-813893,anticoagulant herbs
GW-813893,garlic
GW-813893,ginger
GW-813893,ginkgo biloba
Gabapentin,alcohol
Gabexate,anticoagulant herbs
Gabexate,garlic
Gabexate,ginger
Gabexate,ginkgo biloba
Galcanezumab,alcohol
Gefitinib,grapefruit
Gilteritinib,grapefruit
Gilteritinib,st. john's wort
