drug_id,drug_name,category,dual_role,notes
PCM,,pharmaceutical,,Enantiomer/variant of: 
PE,,pharmaceutical,,Enantiomer/variant of: 
PG,,pharmaceutical,,Enantiomer/variant of: 
PGE(2),,pharmaceutical,,Enantiomer/variant of: 
PGE2,,pharmaceutical,,Enantiomer/variant of: 
PGI2,,pharmaceutical,,Enantiomer/variant of: 
PGx,,pharmaceutical,,Enantiomer/variant of: 
PI,,pharmaceutical,,Enantiomer/variant of: 
PPI,,pharmaceutical,,Enantiomer/variant of: 
PTH,,pharmaceutical,,Enantiomer/variant of: 
PTU,,pharmaceutical,,Enantiomer/variant of: 
Pancreatic lipase,,pharmaceutical,,Enantiomer/variant of: 
Pg,,pharmaceutical,,Enantiomer/variant of: 
PhIP,,pharmaceutical,,Enantiomer/variant of: 
Phe,,pharmaceutical,,Enantiomer/variant of: 
Phenylephrine,,pharmaceutical,,Enantiomer/variant of: 
Piracetam,,pharmaceutical,,Enantiomer/variant of: 
Prednisolone,,pharmaceutical,,Enantiomer/variant of: 
Progesterone,,pharmaceutical,,Enantiomer/variant of: 
Pyridoxine,,pharmaceutical,,Enantiomer/variant of: 
Quinagolide,,pharmaceutical,,Enantiomer/variant of: 
Quinine,,pharmaceutical,,Enantiomer/variant of: 
Qunidine,,pharmaceutical,,Enantiomer/variant of: 
RS,,pharmaceutical,,Enantiomer/variant of: 
RU486,,pharmaceutical,,Enantiomer/variant of: 
Rapamycin,,pharmaceutical,,Enantiomer/variant of: 
Raubasine,,pharmaceutical,,Enantiomer/variant of: 
Reserpine,,pharmaceutical,,Enantiomer/variant of: 
Rosiglitazone,,pharmaceutical,,Enantiomer/variant of: 
S-mephenytoin,,pharmaceutical,,Enantiomer/variant of: 
SA,,pharmaceutical,,Enantiomer/variant of: 
SI,,pharmaceutical,,Enantiomer/variant of: 
SMX,,pharmaceutical,,Enantiomer/variant of: 
SNP,,pharmaceutical,,Enantiomer/variant of: 
SOD,,pharmaceutical,,Enantiomer/variant of: 
STZ,,pharmaceutical,,Enantiomer/variant of: 
Saquinavir,,pharmaceutical,,Enantiomer/variant of: 
Scopolamine,,pharmaceutical,,Enantiomer/variant of: 
Se,,pharmaceutical,,Enantiomer/variant of: 
Se-Pt,,pharmaceutical,,Enantiomer/variant of: 
Sildenafil,,pharmaceutical,,Enantiomer/variant of: 
Silymarin,,pharmaceutical,,Enantiomer/variant of: 
Simvastatin,,pharmaceutical,,Enantiomer/variant of: 
Sodium nitroprusside,,pharmaceutical,,Enantiomer/variant of: 
Soy isoflavone aglycone,,pharmaceutical,,Enantiomer/variant of: 
Streptozotocin,,pharmaceutical,,Enantiomer/variant of: 
T,,pharmaceutical,,Enantiomer/variant of: 
T(3),,pharmaceutical,,Enantiomer/variant of: 
T(4),,pharmaceutical,,Enantiomer/variant of: 
T3,,pharmaceutical,,Enantiomer/variant of: 
T4,,pharmaceutical,,Enantiomer/variant of: 
TB,,pharmaceutical,,Enantiomer/variant of: 
TBARS,,pharmaceutical,,Enantiomer/variant of: 
TET,,pharmaceutical,,Enantiomer/variant of: 
TP,,pharmaceutical,,Enantiomer/variant of: 
TSH,,pharmaceutical,,Enantiomer/variant of: 
Tac,,pharmaceutical,,Enantiomer/variant of: 
Tacrine,,pharmaceutical,,Enantiomer/variant of: 
Testosterone,,pharmaceutical,,Enantiomer/variant of: 
UI,,pharmaceutical,,Enantiomer/variant of: 
URE,,pharmaceutical,,Enantiomer/variant of: 
VA,,pharmaceutical,,Enantiomer/variant of: 
VBL,,pharmaceutical,,Enantiomer/variant of: 
VP-16,,pharmaceutical,,Enantiomer/variant of: 
Vancomycin,,pharmaceutical,,Enantiomer/variant of: 
Vioxx,,pharmaceutical,,Enantiomer/variant of: 
Vitamin-B9,,pharmaceutical,,Enantiomer/variant of: 
WAY 100635,,pharmaceutical,,Enantiomer/variant of: 
Warfarin,,pharmaceutical,,Enantiomer/variant of: 
Zinc,,pharmaceutical,,Enantiomer/variant of: 
Zn,,pharmaceutical,,Enantiomer/variant of: 
Zn-Gly,,pharmaceutical,,Enantiomer/variant of: 
Zn-Met,,pharmaceutical,,Enantiomer/variant of: 
ZnSO4,,pharmaceutical,,Enantiomer/variant of: 
abiraterone,,pharmaceutical,,Enantiomer/variant of: 
acarbose,,pharmaceutical,,Enantiomer/variant of: 
acebutolol,,pharmaceutical,,Enantiomer/variant of: 
acenocoumarol,,pharmaceutical,,Enantiomer/variant of: 
acetaldehyde,,pharmaceutical,,Enantiomer/variant of: 
acetaminophen,,pharmaceutical,,Enantiomer/variant of: 
acetate,,pharmaceutical,,Enantiomer/variant of: 
acetic acid,,pharmaceutical,,Enantiomer/variant of: 
acetylcholine,,pharmaceutical,,Enantiomer/variant of: 
acetylcholine esterase,,pharmaceutical,,Enantiomer/variant of: 
acetylcholinesterase,,pharmaceutical,,Enantiomer/variant of: 
acetylsalicylic acid,,pharmaceutical,,Enantiomer/variant of: 
actinomycin D,,pharmaceutical,,Enantiomer/variant of: 
actinomycin D-chase,,pharmaceutical,,Enantiomer/variant of: 
activators,,pharmaceutical,,Enantiomer/variant of: 
adenosine,,pharmaceutical,,Enantiomer/variant of: 
adenosine tri phosphate,,pharmaceutical,,Enantiomer/variant of: 
adiponectin,,pharmaceutical,,Enantiomer/variant of: 
alanine aminotransferase,,pharmaceutical,,Enantiomer/variant of: 
albendazole,,pharmaceutical,,Enantiomer/variant of: 
albumin,,pharmaceutical,,Enantiomer/variant of: 
alcohol,,pharmaceutical,,Enantiomer/variant of: 
alkaline phosphatase,,pharmaceutical,,Enantiomer/variant of: 
aluminium chloride,,pharmaceutical,,Enantiomer/variant of: 
aluminum,,pharmaceutical,,Enantiomer/variant of: 
aluminum chloride,,pharmaceutical,,Enantiomer/variant of: 
amantadine,,pharmaceutical,,Enantiomer/variant of: 
amiloride,,pharmaceutical,,Enantiomer/variant of: 
aminoglycosides,,pharmaceutical,,Enantiomer/variant of: 
aminophylline,,pharmaceutical,,Enantiomer/variant of: 
amiodarone,,pharmaceutical,,Enantiomer/variant of: 
amitriptyline,,pharmaceutical,,Enantiomer/variant of: 
ammonia,,pharmaceutical,,Enantiomer/variant of: 
amoxicillin,,pharmaceutical,,Enantiomer/variant of: 
amoxicillin/clavulanic acid,,pharmaceutical,,Enantiomer/variant of: 
amphotericin B,,pharmaceutical,,Enantiomer/variant of: 
ampicillin,,pharmaceutical,,Enantiomer/variant of: 
amrinone,,pharmaceutical,,Enantiomer/variant of: 
anandamide,,pharmaceutical,,Enantiomer/variant of: 
