food_name,food_id,drug_name,drug_id,verdict
Albumin+Protein,23,perindopril,988,DrugBank-text
Albumin+Protein,23,sildenafil,1168,DrugBank-text
Albumin+Protein,23,t,1824,DrugBank-text
Albumin+Protein,23,nitroglycerin,900,DrugBank-text
Albumin+Protein,23,diazepam,363,DrugBank-text
Albumin+Protein,23,alprazolam,42,DrugBank-text
Albumin+Protein,23,lorazepam,742,DrugBank-text
Albumin+Protein,23,midazolam,825,DrugBank-text
Albumin+Protein,23,tacrolimus,1224,DrugBank-text
Limonene+Linalool,194,statins,1772,PubMed-NLP
Limonene+Linalool,194,cyclosporine,306,PubMed-NLP
Limonene+Linalool,194,simvastatin,1174,PubMed-NLP
Limonene+Linalool,194,fe,1445,PubMed-NLP
Butter Emulsion,324,metformin,794,DrugBank-text
Butter Emulsion,324,insulin,1615,DrugBank-text
Butter Emulsion,324,empagliflozin,433,DrugBank-text
Butter Emulsion,324,dapagliflozin,322,DrugBank-text
Butter Emulsion,324,canagliflozin,190,DrugBank-text
Butter Emulsion,324,statins,1772,LIT-confirmed
Butter Emulsion,324,cyclosporine,306,LIT-confirmed
Butter Emulsion,324,isotretinoin,666,LIT-confirmed
Butter Emulsion,324,simvastatin,1174,LIT-confirmed
Butter Emulsion,324,orlistat,929,LIT-confirmed
Butter Emulsion,324,codeine,287,DrugBank-text
Butter Emulsion,324,tamoxifen,1230,DrugBank-text
Butter Emulsion,324,metoprolol,818,DrugBank-text
Butter Emulsion,324,estradiol,1797,DrugBank-text
Butter Emulsion,324,progesterone,1061,DrugBank-text
Butter Emulsion,324,conjugated estrogens,292,DrugBank-text
Butter Emulsion,324,omeprazole,924,DrugBank-text
Butter Emulsion,324,lansoprazole,690,DrugBank-text
Butter Emulsion,324,erythromycin,456,DrugBank-text
Butter Emulsion,324,clarithromycin,263,DrugBank-text
Sesamin+Sesamolin,1227,metformin,794,PubMed-NLP
Sesamin+Sesamolin,1227,insulin,1615,PubMed-NLP
Sesamin+Sesamolin,1227,empagliflozin,433,PubMed-NLP
Sesamin+Sesamolin,1227,dapagliflozin,322,PubMed-NLP
Sesamin+Sesamolin,1227,canagliflozin,190,PubMed-NLP
Sesamin+Sesamolin,1227,statins,1772,PubMed-NLP
Sesamin+Sesamolin,1227,cyclosporine,306,PubMed-NLP
Sesamin+Sesamolin,1227,isotretinoin,666,PubMed-NLP
Sesamin+Sesamolin,1227,simvastatin,1174,PubMed-NLP
Sesamin+Sesamolin,1227,orlistat,929,PubMed-NLP
Sesamin+Sesamolin,1227,codeine,287,PubMed-NLP
Sesamin+Sesamolin,1227,tamoxifen,1230,PubMed-NLP
Sesamin+Sesamolin,1227,metoprolol,818,PubMed-NLP
Sesamin+Sesamolin,1227,estradiol,1797,LIT-confirmed
Sesamin+Sesamolin,1227,progesterone,1061,LIT-confirmed
Sesamin+Sesamolin,1227,conjugated estrogens,292,LIT-confirmed
Sucrose / Icing Sugar,340,estradiol,1797,DrugBank-text
Sucrose / Icing Sugar,340,progesterone,1061,DrugBank-text
Sucrose / Icing Sugar,340,conjugated estrogens,292,DrugBank-text
Sucrose / Icing Sugar,340,omeprazole,924,DrugBank-text
Sucrose / Icing Sugar,340,lansoprazole,690,DrugBank-text
Sucrose / Icing Sugar,340,erythromycin,456,DrugBank-text
Sucrose / Icing Sugar,340,clarithromycin,263,DrugBank-text
Potassium,22,allopurinol,36,PubMed-NLP
Potassium,22,febuxostat,496,PubMed-NLP
Potassium,22,ferrous sulfate anhydrous,513,LIT-confirmed
Potassium,22,ferrous sulfate,1786,LIT-confirmed
Potassium,22,ferrous gluconate,512,LIT-confirmed
Potassium,22,ferrous fumarate,511,LIT-confirmed
Allicin+Gingerol+Curcumin,13,warfarin,1396,DrugBank-named
Allicin+Gingerol+Curcumin,13,aspirin,1469,DrugBank-named
Allicin+Gingerol+Curcumin,13,cyclosporine,306,LIT-confirmed
Allicin+Gingerol+Curcumin,13,simvastatin,1174,LIT-confirmed
Allicin+Gingerol+Curcumin,13,midazolam,825,LIT-confirmed
Allicin+Gingerol+Curcumin,13,tacrolimus,1224,LIT-confirmed
Allicin+Gingerol+Curcumin,13,statins,1772,LIT-confirmed
Allicin+Gingerol+Curcumin,13,atorvastatin,96,LIT-confirmed
Sodium Bicarbonate,25,cm,1767,LIT-confirmed
Sodium Bicarbonate,25,aspirin,1469,LIT-confirmed
Sodium Bicarbonate,25,omeprazole,924,LIT-confirmed
Sodium Bicarbonate,25,diclofenac,365,LIT-confirmed
Sodium Bicarbonate,25,ciprofloxacin,258,LIT-confirmed
Sodium Bicarbonate,25,iron,658,LIT-confirmed
Sodium Bicarbonate,25,ferrous sulfate anhydrous,513,LIT-confirmed
Sodium Bicarbonate,25,ferrous sulfate,1786,LIT-confirmed
Sodium Bicarbonate,25,zinc sulfate,1414,LIT-confirmed
Sodium Bicarbonate,25,allopurinol,36,DrugBank-text
Sodium Bicarbonate,25,warfarin,1396,DrugBank-text
Sodium Bicarbonate,25,phenytoin,1004,DrugBank-text
Sodium Bicarbonate,25,glipizide,588,DrugBank-text
Sodium Bicarbonate,25,flurbiprofen,546,DrugBank-text
Sodium Bicarbonate,25,levothyroxine,722,DrugBank-text
Sodium Bicarbonate,25,t,1824,DrugBank-text
Sodium Bicarbonate,25,al,1455,DrugBank-text
Phytic Acid,762,iron,658,LIT-confirmed
Phytic Acid,762,zinc sulfate,1414,LIT-confirmed
Phytic Acid,762,t,1824,LIT-confirmed
Phytic Acid,762,al,1455,LIT-confirmed
Purines,799,cm,1767,PubMed-NLP
Purines,799,aspirin,1469,PubMed-NLP
Purines,799,omeprazole,924,PubMed-NLP
Purines,799,diclofenac,365,PubMed-NLP
NonHemeIron,18,ciprofloxacin,258,DrugBank-text
NonHemeIron,18,iron,658,DrugBank-text
NonHemeIron,18,ferrous sulfate anhydrous,513,DrugBank-text
NonHemeIron,18,ferrous sulfate,1786,DrugBank-text
NonHemeIron,18,zinc sulfate,1414,DrugBank-text
Potassium,22,iron,658,LIT-confirmed
Potassium,22,zinc sulfate,1414,LIT-confirmed
Beta-Carotene,718,ciprofloxacin,258,DrugBank-text
Beta-Carotene,718,iron,658,DrugBank-text
Beta-Carotene,718,ferrous sulfate anhydrous,513,DrugBank-text
Beta-Carotene,718,ferrous sulfate,1786,DrugBank-text
