brand_name,inn_raw,inn_normalized,pipeline_drug,match_type
CLAVODEX DUO,AMOXICILLINE TRIHYDRATEE EXPRIMEE EN AMOXICILLINE / ACIDE CLAVULANIQUE POTASSIQUE EXPRIME EN ACIDE CLAVULANIQUE,acide clavulanique,Clavulanic acid,prefix
CLAVODAR FORTE 400/57,AMOXICILLINE** (SOUS FORME TRIHYDRATEE) / ACIDE CLAVULANIQUE** (SOUS FORME POTASSIQUE),amoxicilline** (sous formee) / acide clavulanique** (sous forme potassique),,none
CLAVODAR 1G,AMOXICILLINE** (SOUS FORME TRIHYDRATEE) / ACIDE CLAVULANIQUE** (SOUS FORME POTASSIQUE),amoxicilline** (sous formee) / acide clavulanique** (sous forme potassique),,none
TABUKLAV,AMOXICILLINE/ ACIDE CLAVULANIQUE,amoxicilline/ acide clavulanique,,none
FUNGIZONE,AMPHOTERICINE B,amphotericine b,amphotericin B,prefix
AMPILINE,AMPICILLINE SODIQUE EXPRIME EN AMPICILLINE,ampicilline,Ampicillin,exact
AMPAL,AMPICILLINE TRIHYDRATE EXPRIME EN AMPICILLINE,ampicilline,Ampicillin,exact
DOLODENT,AMYLEINE CHLORAL,amyleine chloral,,none
ANASTROZOLE CINFA,ANASTROZOLE,anastrozole,Anastrozole,exact
ARIMIDEX,ANASTROZOLE,anastrozole,Anastrozole,exact
ANASTRODEX,ANASTROZOLE,anastrozole,Anastrozole,exact
GERDOL,ANASTROZOLE,anastrozole,Anastrozole,exact
OPHTAZOLIN,ANTAZOLINE  (SULFATE) / NAPHAZOLINE (NITRATE),antazoline  (sulfate) / naphazoline (nitrate),Antazoline,prefix
GLUCANTIME,ANTIMONIATE DE MEGLUMINE,antimoniate de meglumine,Antimony,prefix
ELIQUIS,Apixaban,apixaban,Apixaban,exact
BIOPEXA,APIXABAN,apixaban,Apixaban,exact
ARGINOR,ARGININE ASPARTATE,arginine aspartate,,none
ARGINOR ENFANT,ARGININE ASPARTATE,arginine aspartate,,none
SARGENOR,ARGININE ASPARTATE,arginine aspartate,,none
SARGENOR ENFANT,ARGININE ASPARTATE,arginine aspartate,,none
ARGINOR + C,ARGININE ASPARTATE / ACIDE ASCORBIQUE,arginine aspartate / acide ascorbique,,none
SARGENOR VITAMINE C,ARGININE ASPARTATE / ACIDE ASCORBIQUE,arginine aspartate / acide ascorbique,,none
ARINIA,ARIPIPRAZOLE,aripiprazole,Aripiprazole,exact
ABILIZOLE,ARIPIPRAZOLE,aripiprazole,Aripiprazole,exact
ZOLIFY,ARIPIPRAZOLE,aripiprazole,Aripiprazole,exact
ARIPIPRAZOLE LDM,ARIPIPRAZOLE,aripiprazole,Aripiprazole,exact
ABILIFY,ARIPIPRAZOLE,aripiprazole,Aripiprazole,exact
ABDIFLY,ARIPIPRAZOLE,aripiprazole,Aripiprazole,exact
ARIPIPRAZOLE BEKER,ARIPIPRAZOLE,aripiprazole,Aripiprazole,exact
FALCI CARE,Artésunate,artésunate,,none
TONIC + C,ASCORBATE DE SODIUM / GLUTAMATE DE SODIUM / CHLORHYDRATE  DE LYSINE / ASPARTATE DE MAGNESIUM,ascorbate de sodium / glutamate de sodium /  de lysine / aspartate de magnesium,,none
TONI C 1000,ASCORBATE DE SODIUM / GLUTAMATE DE SODIUM / CHLORHYDRATE DE LYSINE / ASPARTATE DE MAGNESIUM,ascorbate de sodium / glutamate de sodium / de lysine / aspartate de magnesium,,none
SARGENINE,ASPARTATE D'ARGININE,aspartate d'arginine,,none
MEGAMAG,ASPARTATE DE MAGNESIUM DIHYDRATE,aspartate de magnesium,,none
DAGHTAN 100,ATENOLOL,atenolol,atenolol,exact
TENORMED,ATENOLOL,atenolol,atenolol,exact
DAGHTAN 50,ATENOLOL,atenolol,atenolol,exact
STRATTERA,ATOMOXETINE CHLORHYDRATE EXPRIME EN ATOMOXETINE,atomoxetine,Atomoxetine,exact
TORVAST,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TEOLAR,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TAHOR,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPODAR 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
NOVATHOR,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TARDEN,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPOVAST 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPOVAST,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORVASTATINE IVAL,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
VASKOL 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPICARE,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORVASTATINE LDM,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATOR,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATOR 40MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
AROVAN,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TORVASTATINE,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORIN 20MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORIN 40MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORIN 80MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPOSTATINE,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORVASTATINE GEBER,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPONIL 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPONIL 40,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TEOLAR,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPODAR 10,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
NOVATHOR,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TARDEN,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPOVAST 10,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORVASTATINE IVAL,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
VASKOL 10,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPICARE,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORVASTATINE LDM,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATOR 10MG,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
AROVAN,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TORVASTATINE,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORIN 10MG,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPOSTATINE,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORVASTATINE MM,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
ATORVASTATINE GEBER,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
LIPONIL,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,atorvastatine,Atorvastatin,exact
TRACTOCILE,ATOSIBAN ACETATE EXPRIME EN ATOSIBAN,atosiban,Atosiban,exact
ATACURE,ATRACURIUM BESYLATE,atracurium,Atracurium,exact
APITROPIN,ATROPINE,atropine,Atropine,exact
CROPINE,ATROPINE (SULFATE) EXPRIME EN ATROPINE,atropine,Atropine,exact
INLYTA,Axitinib,axitinib,Axitinib,exact
VIDAZA,AZACITIDINE,azacitidine,Azacitidine,exact
WINDUZA,AZACITIDINE,azacitidine,Azacitidine,exact
AZATHIOPRINE MYLAN,AZATHIOPRINE,azathioprine,Azathioprine,exact
IMUREL,AZATHIOPRINE,azathioprine,Azathioprine,exact
AZYTER,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
ZOTRIX,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
ZOMAX,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
AZITHRAL,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
ZITHROMAX,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
AZITHROMYCINE NS,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
ZETRON,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
AZITHROM HUP,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
AZITHROMYCINE BEKER,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
MYCINAD,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
MYCINAD,Azithromycine Dihydratee Exprimee En Azithromycine,azithromycinee exprimee en azithromycine,Azithromycin,prefix
BACRO,BACLOFENE,baclofene,Baclofen,exact
LIORESAL,BACLOFENE,baclofene,Baclofen,exact
BACLON,BACLOFENE,baclofene,Baclofen,exact
BALSOFUMINE  SIMPLE,BALSAMIQUES POUR INHALATION,balsamiques pour inhalation,,none
BALSOFUMINE MENTHOLEE,BALSAMIQUES POUR INHALATION,balsamiques pour inhalation,,none
RHUM 'NET,BALSAMIQUES POUR INHALATION,balsamiques pour inhalation,,none
VAPORHUM,BALSAMIQUES POUR INHALATION,balsamiques pour inhalation,,none
OXEOL,BAMBUTEROL CHLORHYDRATE,bambuterol,Bambuterol,exact
SIMULECT,Basiliximab,basiliximab,,none
BECLOJET,BECLOMETASONE,beclometasone,,none
BECLATE 250,BECLOMETASONE,beclometasone,,none
BECLATE - NASAL,BECLOMETASONE,beclometasone,,none
BECONASE,BECLOMETASONE,beclometasone,,none
CLENIL 250,BECLOMETASONE DIPROPIONATE,beclometasone dipropionate,,none
RINOCLENIL 100,BECLOMETASONE DIPROPIONATE,beclometasone dipropionate,,none
NASABEC,BECLOMETASONE DIPROPIONATE,beclometasone dipropionate,,none
NASABEC,BECLOMETASONE DIPROPIONATE MONOHYDRATE EXPRIME EN BECLOMETASONE DIPROPIONATE,beclometasone dipropionate,,none
FOSTER,BECLOMETASONE DIPROPIONATE/ FORMOTEROL FUMARATE DIHYDRATE,beclometasone dipropionate/ formoterol,,none
RIBOMUSTIN,BENDAMUSTINE CHLORHYDRATE,bendamustine,Bendamustine,exact
BENDAMUSTINE HYDROCHLORIDE ACCORD,BENDAMUSTINE CHLORHYDRATE,bendamustine,Bendamustine,exact
BENTERO 100,Bendamustine chlorhydrate monohydrate experime en Bendamustine chlorhydrate,bendamustine experime en bendamustine,Bendamustine,prefix
HUMEX MAL DE GORGE LIDOCAINE,BENZALKONIUM CHLORURE/LIDOCAINE CHLORHYDRATE,benzalkonium chlorure/lidocaine,Benzalkonium,prefix
RETARCILINE,BENZATHINE BENZYLPENICILLINE,benzathine benzylpenicilline,Benzatropine,prefix
ASCALOL,BENZOATE DE BENZYLE,benzoate de benzyle,,none
ASCABINE FORTE,BENZOATE DE BENZYLE,benzoate de benzyle,,none
NEO-CODION NOURRISSONS,BENZOATE DE SODIUM / TEINTURE DE GRINDELIA / SIROP DE POLYGALA,benzoate de sodium / teinture de grindelia / sirop de polygala,,none
GECTAPEN,BENZYLPENICILLINE SODIQUE,benzylpenicilline,,none
BASDENE,BENZYLTHIOURACILE,benzylthiouracile,,none
SURVANTA,BERACTANT,beractant,Beractant,exact
MEVERC,BETAHISTINE,betahistine,Betahistine,exact
