drug_id,drug_name,category,notes
348,Deucravacitinib,pharmaceutical,
349,Deuruxolitinib,pharmaceutical,
350,Deutetrabenazine,pharmaceutical,
351,Dexamethasone,pharmaceutical,
352,Dexbrompheniramine,pharmaceutical,
353,Dexchlorpheniramine Maleate,pharmaceutical,
354,Dexfenfluramine,pharmaceutical,
355,Dexlansoprazole,pharmaceutical,
356,Dexmethylphenidate,pharmaceutical,
357,Dextran,pharmaceutical,
358,Dextroamphetamine,pharmaceutical,
359,Dextromethorphan,pharmaceutical,
360,Dextropropoxyphene,pharmaceutical,
361,Dextrothyroxine,pharmaceutical,
362,Diamorphine,pharmaceutical,
363,Diazepam,pharmaceutical,
364,Dichloralphenazone,pharmaceutical,
365,Diclofenac,pharmaceutical,
366,Diclofenamide,pharmaceutical,
367,Dicloxacillin,pharmaceutical,
368,Dicoumarol,pharmaceutical,
369,Dicyclomine,pharmaceutical,
370,Didanosine,pharmaceutical,
371,Dienogest,pharmaceutical,
372,Diethylcarbamazine,pharmaceutical,
373,Diethylpropion,pharmaceutical,
374,Difelikefalin,pharmaceutical,
375,Difenoxin,pharmaceutical,
376,Diflunisal,pharmaceutical,
377,Digitoxin,pharmaceutical,
378,Digoxin,pharmaceutical,
379,Dihydrocodeine,pharmaceutical,
380,Dihydroergotamine,pharmaceutical,
381,Diiodohydroxyquinoline,pharmaceutical,
382,Diltiazem,pharmaceutical,
383,Dimenhydrinate,pharmaceutical,
384,Dimethyl Fumarate,pharmaceutical,
385,Diosmin,pharmaceutical,
386,Diphenadione,pharmaceutical,
387,Diphenhydramine,pharmaceutical,
388,Diphenoxylate,pharmaceutical,
389,Dipyridamole,pharmaceutical,
390,Diroximel Fumarate,pharmaceutical,
391,Disopyramide,pharmaceutical,
392,Disulfiram,pharmaceutical,
393,Ditazole,pharmaceutical,
394,Docetaxel,pharmaceutical,
395,Dofetilide,pharmaceutical,
396,Dolasetron,pharmaceutical,
397,Dolutegravir,pharmaceutical,
398,Domperidone,pharmaceutical,
399,Donepezil,pharmaceutical,
400,Doravirine,pharmaceutical,
401,Doxazosin,pharmaceutical,
402,Doxepin,pharmaceutical,
403,Doxercalciferol,pharmaceutical,
404,Doxorubicin,pharmaceutical,
405,Doxycycline,pharmaceutical,
406,Doxylamine,pharmaceutical,
407,Dronabinol,pharmaceutical,
408,Dronedarone,pharmaceutical,
409,Drospirenone,pharmaceutical,
410,Drotrecogin Alfa,biological,
411,Droxidopa,pharmaceutical,
412,Dulaglutide,pharmaceutical,
413,Duloxetine,pharmaceutical,
414,Dutasteride,pharmaceutical,
415,Duvelisib,pharmaceutical,
416,Dyclonine,pharmaceutical,
417,Ebastine,pharmaceutical,
418,Edaravone,pharmaceutical,
419,Edetic Acid,pharmaceutical,
420,Edoxaban,pharmaceutical,
421,Efavirenz,pharmaceutical,
422,Eflornithine,pharmaceutical,
423,Elacestrant,pharmaceutical,
424,Elafibranor,pharmaceutical,
425,Elagolix,pharmaceutical,
426,Elbasvir,pharmaceutical,
427,Eletriptan,pharmaceutical,
428,Elexacaftor,pharmaceutical,
429,Eliglustat,pharmaceutical,
430,Eltrombopag,pharmaceutical,
431,Eluxadoline,pharmaceutical,
432,Elvitegravir,pharmaceutical,
433,Empagliflozin,pharmaceutical,
434,Emtricitabine,pharmaceutical,
435,Enalapril,pharmaceutical,
436,Enasidenib,pharmaceutical,
437,Encorafenib,pharmaceutical,
438,Enoxaparin,pharmaceutical,
439,Entacapone,pharmaceutical,
440,Entecavir,pharmaceutical,
441,Entrectinib,pharmaceutical,
442,Enzalutamide,pharmaceutical,
443,Epirubicin,pharmaceutical,
444,Eplerenone,pharmaceutical,
445,Eplontersen,pharmaceutical,
446,Epoprostenol,pharmaceutical,
447,Eprosartan,pharmaceutical,
448,Eptifibatide,pharmaceutical,
449,Eravacycline,pharmaceutical,
450,Erdafitinib,pharmaceutical,
451,Ergoloid Mesylate,pharmaceutical,
452,Ergotamine,pharmaceutical,
453,Erlotinib,pharmaceutical,
454,Ertugliflozin,pharmaceutical,
455,Erythrityl Tetranitrate,pharmaceutical,
456,Erythromycin,pharmaceutical,
457,Erythropoietin,pharmaceutical,
458,Escitalopram,pharmaceutical,
459,Esketamine,pharmaceutical,
460,Eslicarbazepine Acetate,pharmaceutical,
461,Esomeprazole,pharmaceutical,
462,Estazolam,pharmaceutical,
463,Esterified Estrogens,pharmaceutical,
464,Estetrol,pharmaceutical,
465,Estradiol Acetate,pharmaceutical,
466,Estradiol Cypionate,pharmaceutical,
467,Estradiol Valerate,pharmaceutical,
468,Estramustine,pharmaceutical,
469,Estrone,pharmaceutical,
470,Estrone Sulfate,pharmaceutical,
471,Eszopiclone,pharmaceutical,
472,Etacrynic Acid,pharmaceutical,
473,Etafedrine,pharmaceutical,
474,Ethambutol,pharmaceutical,
475,Ethchlorvynol,pharmaceutical,
476,Ethinylestradiol,pharmaceutical,
477,Ethionamide,pharmaceutical,
478,Ethosuximide,pharmaceutical,
479,Ethotoin,pharmaceutical,
480,Ethyl Biscoumacetate,pharmaceutical,
481,Etidronic Acid,pharmaceutical,
482,Etodolac,pharmaceutical,
483,Etonogestrel,pharmaceutical,
484,Etoposide,pharmaceutical,
485,Etoricoxib,pharmaceutical,
486,Etrasimod,pharmaceutical,
487,Etravirine,pharmaceutical,
488,Etretinate,pharmaceutical,
489,Everolimus,pharmaceutical,
490,Exemestane,pharmaceutical,
491,Exenatide,pharmaceutical,
492,Ezetimibe,pharmaceutical,
493,Ezogabine,pharmaceutical,
494,Famciclovir,pharmaceutical,
495,Famotidine,pharmaceutical,
496,Febuxostat,pharmaceutical,
497,Fecal Microbiota,pharmaceutical,
498,Fedratinib,pharmaceutical,
499,Felbamate,pharmaceutical,
500,Felodipine,pharmaceutical,
501,Fenfluramine,pharmaceutical,
502,Fenofibrate,pharmaceutical,
503,Fenofibric Acid,pharmaceutical,
504,Fenoldopam,pharmaceutical,
505,Fenoprofen,pharmaceutical,
506,Fenoterol,pharmaceutical,
507,Fentanyl,pharmaceutical,
508,Ferric Cation,pharmaceutical,
509,Ferric Maltol,pharmaceutical,
510,Ferrous Ascorbate,pharmaceutical,
511,Ferrous Fumarate,pharmaceutical,
512,Ferrous Gluconate,pharmaceutical,
513,Ferrous Sulfate Anhydrous,pharmaceutical,
514,Ferulic Acid,pharmaceutical,
515,Fesoterodine,pharmaceutical,
516,Fexinidazole,pharmaceutical,
517,Fexofenadine,pharmaceutical,
518,Fidanacogene Elaparvovec,pharmaceutical,
519,Fidaxomicin,pharmaceutical,
520,Finasteride,pharmaceutical,
521,Finerenone,pharmaceutical,
522,Fingolimod,pharmaceutical,
523,Flavin Adenine Dinucleotide,pharmaceutical,
