TM_interactions_ID,texts_ID,start_index,end_index,food,drug
33475,19903,0,155,cobalt,chromium
33476,19903,708,838,cobalt,chromium
33477,19903,1034,1202,cobalt,chromium
33478,19904,1344,1666,morphine,remifentanil
33492,19911,619,904,cream,ivermectin
33493,19911,1821,2068,cream,ivermectin
33496,19913,0,138,dopamine,haloperidol
33509,19923,1088,1265,nicotine,Carbon monoxide
33514,19926,278,437,spread,bupivacaine
33516,19926,438,687,spread,bupivacaine
33531,19934,156,303,serotonin,erythropoietin
33541,19941,1343,1629,oxygen,nitrate
33551,19945,1154,1286,scopolamine,glycopyrronium
33554,19947,265,456,nitrate,nitrite
33558,19948,226,477,cholesterol,hydrogen
33560,19949,1364,1614,carbon dioxide,isoflurane
33571,19955,1067,1246,histamine,ketotifen
33587,19965,803,984,17alpha-ethynylestradiol,progesterone
33593,19968,258,421,iron,Carnosine
33594,19968,422,578,d-glucose,carnosine
33595,19968,1583,1738,iron,carnosine
33603,19973,529,676,tea,caffeine
33604,19973,1363,1553,Caffeine,caffeine
33612,19974,1645,1891,l-alanine,arginine
33631,19976,102,289,sodium,Angiotensin II
33632,19976,1374,1426,sodium,Angiotensin II
33638,19980,702,972,capsaicin,pregabalin
33639,19980,702,972,capsaicin,morphine
33640,19980,973,1143,morphine,pregabalin
33642,19982,1612,1766,l-carnitine,carboplatin
33648,19985,431,571,cholesterol,Evolocumab
33649,19985,1997,2146,cholesterol,evolocumab
33661,19990,2358,2470,oxygen,simvastatin
33666,19992,1184,1317,phosphate,dapagliflozin
33667,19992,1184,1317,phosphate,gliclazide
33669,19992,1556,1720,chloride,dapagliflozin
33670,19992,1556,1720,sulfate,dapagliflozin
33672,19992,1811,1965,citrate,dapagliflozin
33687,19999,1332,1569,cholesterol,raloxifene
33701,20005,1110,1289,bilirubin,Sutimlimab
33703,20007,1862,2051,d-lactic acid,sevoflurane
33706,20009,892,1081,dehydroepiandrosterone,androstenedione
33707,20009,892,1081,dehydroepiandrosterone,testosterone
33712,20010,0,115,sodium,Ranolazine
33713,20010,1081,1343,shortening,ranolazine
33714,20010,1414,1647,sodium,Ranolazine
33716,20011,245,458,theophylline,carprofen
33717,20011,245,458,theophylline,robenacoxib
33739,20017,258,400,glutamic acid,riluzole
33748,20023,132,342,(e)-aconitic acid,capecitabine
33788,20046,1293,1487,thromboxane B2,indobufen
33790,20048,1701,1807,dehydroepiandrosterone,methylphenidate
33791,20049,68,250,beverages,Caffeine
33801,20052,1330,1485,cream,imiquimod
33815,20059,710,960,rabbit,everolimus
33834,20072,286,509,uric acid,allopurinol
33842,20073,1460,1718,l-leucine,arginine
33853,20075,1484,1632,cobalamin,betaine
33854,20075,1484,1632,choline,betaine
33856,20075,1484,1632,folic acid,betaine
33857,20075,1484,1632,taurine,betaine
33863,20078,1735,1858,shortening,verapamil
33864,20079,0,121,d-glucose,Sitagliptin
33867,20080,1402,1670,dopamine,atomoxetine
33876,20084,1950,2046,sparteine,Dihydrocodeine
33877,20084,1950,2046,sparteine,dihydromorphine
33886,20089,273,414,17alpha-ethynylestradiol,androstenedione
33887,20089,273,414,androstenedione,estrone sulfate
33894,20093,216,485,water,carbon monoxide
