head	relation	tail
(Z)-Resveratrol	inhibits	Cytochrome P450 2C9
17-Hydroxyprogesterone	inhibits	Solute carrier organic anion transporter family member 1B1
17-Hydroxyprogesterone	inhibits	Solute carrier organic anion transporter family member 1B3
Demethoxycurcumin	inhibits	ATP-dependent translocase ABCB1
Caffeic acid ester	inhibits	Solute carrier organic anion transporter family member 1B3
Caffeic acid ester	inhibits	Solute carrier organic anion transporter family member 1B1
1-Methylxanthine	inhibits	Solute carrier organic anion transporter family member 1B3
1-Methylxanthine	inhibits	Solute carrier organic anion transporter family member 1B1
Theasinensin B	inhibits	Solute carrier organic anion transporter family member 1B3
Theasinensin B	inhibits	Solute carrier organic anion transporter family member 1B1
Theasinensin D	inhibits	Solute carrier organic anion transporter family member 1B1
Theasinensin D	inhibits	Solute carrier organic anion transporter family member 1B3
3H-1,2-Dithiole-3-thione	inhibits	Cytochrome P450 3A4
24-Ethylcholesterol	inhibits	Solute carrier organic anion transporter family member 1B1
alpha-Sitosterol	inhibits	Solute carrier organic anion transporter family member 1B1
gamma-Sitosterol	inhibits	Solute carrier organic anion transporter family member 1B1
beta-Sitosterol	inhibits	Solute carrier organic anion transporter family member 1B1
Spinacetin 3-O-glucosyl-(1->6)-[apiosyl(1->2)]-glucoside	inhibits	Solute carrier organic anion transporter family member 1B1
24-Ethylcholesterol	inhibits	Solute carrier organic anion transporter family member 1B3
alpha-Sitosterol	inhibits	Solute carrier organic anion transporter family member 1B3
gamma-Sitosterol	inhibits	Solute carrier organic anion transporter family member 1B3
beta-Sitosterol	inhibits	Solute carrier organic anion transporter family member 1B3
Spinacetin 3-O-glucosyl-(1->6)-[apiosyl(1->2)]-glucoside	inhibits	Solute carrier organic anion transporter family member 1B3
Glutathione	inhibits	Solute carrier organic anion transporter family member 1B3
Glutathione	inhibits	Solute carrier organic anion transporter family member 1B1
Fumitremorgin C	inhibits	ATP-dependent translocase ABCB1
Eugenyl benzoate	inhibits	Cytochrome P450 3A4
Chinese tannin	inhibits	Cytochrome P450 1A2
Chinese tannin	inhibits	Cytochrome P450 2C9
Chinese tannin	inhibits	Solute carrier organic anion transporter family member 1B3
Chinese tannin	inhibits	Solute carrier organic anion transporter family member 1B1
Conidendrin	inhibits	Cytochrome P450 3A4
3,4,5-Trimethoxycinnamic acid	inhibits	Solute carrier organic anion transporter family member 1B1
