lgn_id,lgn_name,hkg_name,in_mech_kge
457,Erythropoietin,Erythropoietin,True
458,Escitalopram,Escitalopram,True
459,Esketamine,Esketamine,True
460,Eslicarbazepine acetate,Eslicarbazepine acetate,True
461,Esomeprazole,Esomeprazole,True
462,Estazolam,Estazolam,True
463,Esterified estrogens,Esterified estrogens,True
464,Estetrol,Estetrol,True
465,Estradiol acetate,Estradiol acetate,True
466,Estradiol cypionate,Estradiol cypionate,True
467,Estradiol valerate,Estradiol valerate,True
468,Estramustine,Estramustine,True
469,Estrone,Estrone,True
470,Estrone sulfate,Estrone sulfate,True
471,Eszopiclone,Eszopiclone,True
472,Etacrynic acid,Etacrynic acid,True
473,Etafedrine,Etafedrine,True
474,Ethambutol,Ethambutol,True
475,Ethchlorvynol,Ethchlorvynol,True
476,Ethinylestradiol,Ethinylestradiol,True
477,Ethionamide,Ethionamide,True
478,Ethosuximide,Ethosuximide,True
479,Ethotoin,Ethotoin,True
480,Ethyl biscoumacetate,Ethyl biscoumacetate,True
481,Etidronic acid,Etidronic acid,True
482,Etodolac,Etodolac,True
483,Etonogestrel,Etonogestrel,True
484,Etoposide,Etoposide,True
485,Etoricoxib,Etoricoxib,True
486,Etrasimod,Etrasimod,True
487,Etravirine,Etravirine,True
488,Etretinate,Etretinate,True
489,Everolimus,Everolimus,True
490,Exemestane,Exemestane,True
491,Exenatide,Exenatide,True
492,Ezetimibe,Ezetimibe,True
493,Ezogabine,Ezogabine,True
494,Famciclovir,Famciclovir,True
495,Famotidine,Famotidine,True
496,Febuxostat,Febuxostat,True
497,Fecal microbiota,,False
498,Fedratinib,Fedratinib,True
499,Felbamate,Felbamate,True
500,Felodipine,Felodipine,True
501,Fenfluramine,Fenfluramine,True
502,Fenofibrate,Fenofibrate,True
503,Fenofibric acid,Fenofibric acid,True
504,Fenoldopam,Fenoldopam,True
505,Fenoprofen,Fenoprofen,True
506,Fenoterol,Fenoterol,True
507,Fentanyl,Fentanyl,True
508,Ferric cation,Ferric cation,True
509,Ferric maltol,Ferric maltol,True
510,Ferrous ascorbate,Ferrous ascorbate,True
511,Ferrous fumarate,Ferrous fumarate,True
512,Ferrous gluconate,Ferrous gluconate,True
513,Ferrous sulfate anhydrous,Ferrous sulfate anhydrous,True
514,Ferulic acid,Ferulic acid,True
515,Fesoterodine,Fesoterodine,True
516,Fexinidazole,Fexinidazole,True
517,Fexofenadine,Fexofenadine,True
518,Fidanacogene elaparvovec,,False
519,Fidaxomicin,Fidaxomicin,True
520,Finasteride,Finasteride,True
521,Finerenone,Finerenone,True
522,Fingolimod,Fingolimod,True
523,Flavin adenine dinucleotide,Flavin adenine dinucleotide,True
524,Flavin mononucleotide,Flavin mononucleotide,True
525,Flavoxate,Flavoxate,True
526,Flecainide,Flecainide,True
527,Fleroxacin,Fleroxacin,True
528,Flibanserin,Flibanserin,True
529,Floctafenine,,False
530,Flucloxacillin,Flucloxacillin,True
531,Fluconazole,Fluconazole,True
532,Fludarabine,Fludarabine,True
533,Fludeoxyglucose (18F),Fludeoxyglucose (18F),True
534,Fludiazepam,Fludiazepam,True
535,Fludrocortisone,Fludrocortisone,True
536,Fluindione,Fluindione,True
537,Flumazenil,Flumazenil,True
538,Flunarizine,Flunarizine,True
539,Flunitrazepam,Flunitrazepam,True
540,Fluorodopa (18F),Fluorodopa (18F),True
541,Fluoxetine,Fluoxetine,True
542,Fluoxymesterone,Fluoxymesterone,True
543,Flupentixol,Flupentixol,True
544,Fluphenazine,Fluphenazine,True
545,Flurazepam,Flurazepam,True
546,Flurbiprofen,Flurbiprofen,True
547,Fluspirilene,Fluspirilene,True
548,Flutamide,Flutamide,True
549,Fluvastatin,Fluvastatin,True
550,Fluvoxamine,Fluvoxamine,True
551,Fomepizole,Fomepizole,True
552,Fondaparinux,Fondaparinux,True
553,Fosamprenavir,Fosamprenavir,True
554,Fosaprepitant,Fosaprepitant,True
555,Fosfomycin,Fosfomycin,True
556,Fosinopril,Fosinopril,True
557,Fosnetupitant,Fosnetupitant,True
558,Fosphenytoin,Fosphenytoin,True
559,Fostamatinib,Fostamatinib,True
560,Fostemsavir,Fostemsavir,True
561,Frovatriptan,Frovatriptan,True
562,Fruquintinib,Fruquintinib,True
563,Furosemide,Furosemide,True
564,Fusidic acid,Fusidic acid,True
565,Futibatinib,Futibatinib,True
566,GW-813893,GW-813893,True
567,Gabapentin,Gabapentin,True
568,Gabapentin enacarbil,Gabapentin enacarbil,True
569,Gabexate,Gabexate,True
570,Galantamine,Galantamine,True
571,Galcanezumab,Galcanezumab,True
572,Ganaxolone,Ganaxolone,True
573,Ganciclovir,Ganciclovir,True
574,Gatifloxacin,Gatifloxacin,True
575,Gefapixant,Gefapixant,True
576,Gefitinib,Gefitinib,True
577,Gemfibrozil,Gemfibrozil,True
578,Gemifloxacin,Gemifloxacin,True
579,Gepirone,Gepirone,True
580,Gilteritinib,Gilteritinib,True
581,Gimeracil,Gimeracil,True
582,Ginkgo biloba,Ginkgo biloba,True
583,Givinostat,Givinostat,True
584,Glasdegib,Glasdegib,True
585,Glecaprevir,Glecaprevir,True
586,Gliclazide,Gliclazide,True
587,Glimepiride,Glimepiride,True
588,Glipizide,Glipizide,True
589,Glutethimide,Glutethimide,True
590,Glyburide,Glyburide,True
591,Glycerol phenylbutyrate,Glycerol phenylbutyrate,True
592,Glycopyrronium,Glycopyrronium,True
593,Granisetron,Granisetron,True
594,Grazoprevir,Grazoprevir,True
595,Grepafloxacin,Grepafloxacin,True
596,Griseofulvin,Griseofulvin,True
597,Guaifenesin,Guaifenesin,True
598,Guanethidine,Guanethidine,True
599,Guanfacine,Guanfacine,True
600,Halofantrine,Halofantrine,True
601,Haloperidol,Haloperidol,True
602,Heparin,Heparin,True
603,Hydralazine,Hydralazine,True
604,Hydrochlorothiazide,Hydrochlorothiazide,True
605,Hydrocodone,Hydrocodone,True
606,Hydrocortisone,Hydrocortisone,True
607,Hydroflumethiazide,Hydroflumethiazide,True
608,Hydrogen fluoride,,False
609,Hydromorphone,Hydromorphone,True
610,Hydroxychloroquine,Hydroxychloroquine,True
611,Hydroxyurea,Hydroxyurea,True
612,Hydroxyzine,Hydroxyzine,True
613,Hyoscyamine,Hyoscyamine,True
614,Ibandronate,Ibandronate,True
615,Ibrexafungerp,Ibrexafungerp,True
616,Ibritumomab tiuxetan,Ibritumomab tiuxetan,True
617,Ibrutinib,Ibrutinib,True
618,Ibuprofen,Ibuprofen,True
619,Icosapent ethyl,,False
620,Idebenone,,False
621,Idelalisib,Idelalisib,True
622,Idraparinux,Idraparinux,True
623,Ifosfamide,Ifosfamide,True
624,Iloperidone,Iloperidone,True
625,Iloprost,Iloprost,True
626,Imatinib,Imatinib,True
627,Imipramine,Imipramine,True
628,Imiquimod,Imiquimod,True
