lgn_food_id,food_name,has_fp,rep_compound,rep_smiles,strategy
914,Campesterol,True,,,original
915,Lactitol,True,,,original
916,Syringic Acid,True,,,original
917,Prostaglandin E1,True,,,original
918,Vanillylmandelic Acid,True,,,original
919,Normetanephrine,True,,,original
920,Adp,True,,,original
921,Phosphatidylcholine,True,,,original
922,Xylitol,True,,,original
923,Prostaglandin D2,True,,,original
924,Doconexent,True,,,original
925,"8,11,14-Eicosatrienoic Acid",True,,,original
926,Biotin,True,,,original
927,Leukotriene C4,True,,,original
928,Testosterone Enanthate,True,,,original
929,Methanol,True,,,original
930,Diphenhydramine,True,,,original
931,Agar,True,,,original
932,Guanosine Triphosphate,True,,,original
933,3-Phenyl-2-Propenal,True,,,original
934,2-Oxopentanedioic Acid,True,,,original
935,Mg2+,True,,,original
936,Substance P,True,,,original
937,Sulfate,True,,,original
938,Citrate,True,,,original
939,Sparteine,True,,,original
940,Hypoxanthine,True,,,original
941,Lactulose,True,,,original
942,Naproxen,True,,,original
943,Hydroxycobalamin,True,,,original
944,"Glycerol 1,2-Di-(9Z-Octadecenoate)",True,,,original
945,Γ-Tocopherol,True,,,original
946,Erythroneopterin,True,,,original
947,4-Hydroxybenzaldehyde,True,,,original
948,3-Hydroxybutanoic Acid,True,,,original
949,Sapropterin,True,,,original
950,Zinc Sulfate,True,,,original
951,Estrone,True,,,original
952,Hydroquinone,True,,,original
953,Beta-D-Glucuronic Acid,True,,,original
954,Estrone Sulfate,True,,,original
955,Guanine,True,,,original
956,Lipoic Acid,True,,,original
957,Lathosterol,True,,,original
958,Pentanoic Acid,True,,,original
959,Procyanidin,True,,,original
960,3-Methoxy-4-Hydroxyphenylglycol,True,,,original
961,Sulfur Dioxide,True,,,original
962,Nitrogen Oxides,True,,,original
963,Corticosterone,True,,,original
964,Ergocalciferol,True,,,original
965,Synephrine,True,,,original
966,Uracil,True,,,original
967,Deoxypyridinoline,True,,,original
968,Anabasine,True,,,original
969,Zinc Oxide,True,,,original
970,Diethylstilbesterol,True,,,original
971,3-Methyl-L-Histidine,True,,,original
972,Amlodipine,True,,,original
973,4-Hydroxyproline,True,,,original
974,N-Acetylglucosamine,True,,,original
975,"7Z,10Z,13Z,16Z,19Z-Docosapentaenoic Acid",True,,,original
976,L-Homocysteine,True,,,original
977,D-Mannose,True,,,original
978,Phosphatidylserine,True,,,original
979,Porphobilinogen,True,,,original
980,"3,4-Dihydroxyphenylacetic Acid",True,,,original
981,Phenol,True,,,original
982,Indole,True,,,original
983,Isocitric Acid,True,,,original
984,Sodium Taurocholate,True,,,original
985,11-Dehydro-Thromboxane B2,True,,,original
986,Isodulcitol,True,,,original
987,Cytosine,True,,,original
988,Umbelliferone,True,,,original
989,Tartaric Acid,True,,,original
990,Azelaic Acid,True,,,original
991,Estriol,True,,,original
992,Squalene,True,,,original
993,17-Hydroxyprogesterone,True,,,original
994,Trimethylamine Oxide,True,,,original
995,2-Methylpropanoic Acid,True,,,original
996,4-Hydroxybutyric Acid,True,,,original
997,Pseudoephedrine,True,,,original
998,Deoxycholic Acid,True,,,original
999,Bupropion,True,,,original
1000,Dextrin,True,,,original
1001,Palmidrol,True,,,original
1002,Dimethyl Trisulfide,True,,,original
1003,Menatetrenone,True,,,original
1004,Vanillic Acid,True,,,original
1005,Selenate,True,,,original
1006,Dimethylamine,True,,,original
1007,(Z)-Aconitic Acid,True,,,original
1008,Cholic Acid,True,,,original
1009,Glycocholic Acid,True,,,original
1010,Acetovanillone,True,,,original
1011,Allicin,True,,,original
1012,Glucosamine,True,,,original
1013,Canrenone,True,,,original
1014,Dextromethorphan,True,,,original
1015,Sertraline,True,,,original
1016,Mangiferin,True,,,original
1017,Calcium Carbonate,True,,,original
1018,Spermidine,True,,,original
1019,Bergamottin,True,,,original
1020,Glucoraphanin,True,,,original
1021,Gamma-Butyrolactone,True,,,original
1022,3-Nitrotyrosine,True,,,original
1023,12-Hepe,True,,,original
1024,Hydroxylamine,True,,,original
1025,Tangeritin,True,,,original
1026,Tylosin,True,,,original
1027,Hyperforin,True,,,original
1028,Hypericin,True,,,original
1029,Inosine,True,,,original
1030,Anethole,True,,,original
1031,Debrisoquine,True,,,original
1032,N-Methyl-D-Aspartic Acid,True,,,original
1033,Fructosamine,True,,,original
1034,L-Fucose,True,,,original
1035,Steviol,True,,,original
1036,6-Sulfatoxymelatonin,True,,,original
1037,Fumaric Acid,True,,,original
1038,Sodium Lauryl Sulfate,True,,,original
1039,Mandelic Acid,True,,,original
1040,"8-Hydroxy-2-Methoxy-6-Methyl-1,4-Naphthoquinone",False,,,no_representative_found
1041,Acetaminophen,True,,,original
1042,Palmitate,True,,,original
1043,Methionine Sulfoxide,True,,,original
1044,Dimethyl Sulfoxide,True,,,original
1045,Acteoside,True,,,original
1046,Saponins,False,Glycyrrhizin,,copy_lgn:1127
1047,Leukotriene B4,True,,,original
1048,Ajmaline,True,,,original
1049,Alpha-Linolenic Acid,True,,,original
1050,Metanephrine,True,,,original
1051,Limonene,True,,,original
1052,Pyridoxal,True,,,original
1053,Glucosylceramide,True,,,original
1054,Carbonic Acid,True,,,original
1055,Quinoline,True,,,original
1056,"1,2-Benzenediol",True,,,original
1057,Gentisic Acid,True,,,original
1058,Quinine,True,,,original
1059,Plastochromanol 8,True,,,original
1060,Mesna,True,,,original
1061,(-)-Arctigenin,True,,,original
1062,Lf,True,,,original
1063,Venlafaxine,True,,,original
1064,Fosfomycin,True,,,original
1065,Orotic Acid,True,,,original
1066,Nitrite,True,,,original
1067,Deoxyuridine,True,,,original
1068,Chondroitin Sulfate,True,,,original
1069,Flavones,True,,,original
1070,Puerarin,True,,,original
1071,Ubiquinol-10,True,,,original
1072,Propionylcarnitine,True,,,original
1073,Dimethylglycine,True,,,original
1074,Formic Acid,True,,,original
1075,Hyaluronic Acid,True,,,original
1076,"1,3-Dimethyluric Acid",True,,,original
1077,Ammonium,True,,,original
1078,Quercetin 3-Rutinoside,True,,,original
1079,Gdp,True,,,original
1080,Cytidine,True,,,original
1081,Cardiolipin,True,,,original
1082,Hippuric Acid,True,,,original
1083,Peroxynitrite,True,,,original
1084,Beta-D-Glucopyranose,True,,,original
1085,Pyrimidine,True,,,original
1086,3-Hydroxy-3-Methylglutaryl-Coa,True,,,original
1087,Acetylsalicylic Acid,True,,,original
1088,Protoporphyrin Ix,True,,,original
1089,S-Adenosylmethionine,True,,,original
1090,8-Hete,True,,,original
1091,9-Hete,True,,,original
1092,2-Phenylethylamine,True,,,original
1093,Selenite,True,,,original
1094,Cetyl Alcohol,True,,,original
1095,Proanthocyanidins,False,,,no_representative_found
1096,Thromboxane A2,True,,,original
1097,Hexane,False,,,no_representative_found
1098,Allantoin,True,,,original
1099,Biopterin,True,,,original
1100,D-Ribose,True,,,original
1101,Ketoprofen Glucuronide,True,,,original
1102,Glycolipids,False,,,no_representative_found
1103,3-Methylxanthine,True,,,original
1104,Homocysteinesulfinic Acid,True,,,original
1105,Iodide,True,,,original
1106,Toluene,True,,,original
1107,Hafnium,True,,,original
1108,Xanthotoxin,True,,,original
1109,Pyridinoline,True,,,original
1110,Ergothioneine,True,,,original
1111,Chenodeoxycholic Acid,True,,,original
1112,Prostaglandin E3,True,,,original
1113,Clenbuterol,True,,,original
1114,1-Methyluric Acid,True,,,original
1115,Lipoxin A4,True,,,original
1116,Resolvin E1,True,,,original
1117,"4,5-Dihydroorotic Acid",True,,,original
1118,Aniline,True,,,original
1119,4-Hydroxyphenylacetic Acid,True,,,original
1120,Heparan Sulfate,True,,,original
1121,Formaldehyde,True,,,original
1122,Pentosidine,True,,,original
1123,Methanethiol,True,,,original
1124,"3,5-Dihydroxybenzoic Acid",True,,,original
1125,Retinol Palmitate,True,,,original
1126,Cysteamine,False,,,no_representative_found
1127,Glycyrrhizin,True,,,original
1128,Resolvin D2,True,,,original
1129,Valerenic Acid,True,,,original
1130,Benzene,True,,,original
1131,Carbamate,True,,,original
1132,(±)-Menthyl Acetate,True,,,original
1133,Dhea Sulfate,True,,,original
1134,Protopanaxadiol,True,,,original
1135,Stigmasterol,True,,,original
1136,Boric Acid (H3Bo3),True,,,original
1137,Adrenosterone,True,,,original
1138,Gonadotropin Releasing Hormone,True,,,original
1139,Triamterene,True,,,original
1140,Molybdenum,True,,,original
1141,Hydrochlorothiazide,True,,,original
1142,Imidazole,True,,,original
1143,Atorvastatin,True,,,original
1144,Tantalum,True,,,original
1145,7-Dehydrocholesterol,True,,,original
1146,Glaucine,True,,,original
1147,Rubidium,True,,,original
1148,Carbonate,True,,,original
1149,Farnesyl Pyrophosphate,True,,,original
1150,Acetaminophen Glucuronide,True,,,original
1151,Dimethicone,True,,,original
1152,Phloroglucinol,True,,,original
1153,5-Aminoimidazole-4-Carboxamide,True,,,original
1154,Homocysteine Thiolactone,True,,,original
1155,Procaine,True,,,original
1156,Garlicin,True,,,original
1157,Calcium Gluconate,True,,,original
1158,Zirconium,True,,,original
1159,Glycitein,True,,,original
1160,Tetragastrin,True,,,original
1161,Hemin,True,,,original
1162,Gamolenic Acid,True,,,original
1163,4-Aminobenzoic Acid,True,,,original
1164,Stigmastanol,True,,,original
1165,5-Hydroxy-L-Tryptophan,True,,,original
1166,Isoprene,True,,,original
1167,"17,18-Dihete",True,,,original
1168,Prostaglandin I2,True,,,original
1169,Calcium Sulfate,True,,,original
1170,Silica Gel,True,,,original
1171,Nonivamide,True,,,original
1172,2-Hydroxyvaleric Acid,True,,,original
1173,Phenyllactic Acid,True,,,original
1174,3-Phenylpropanoic Acid,True,,,original
1175,3-Methylbutanoic Acid,True,,,original
1176,3-Butyl-1(3H)-Isobenzofuranone,True,,,original
1177,Ergosterol,True,,,original
1178,Taurodeoxycholic Acid,True,,,original
1179,Thymine,True,,,original
1180,"5,10-Methylenetetrahydrofolic Acid",True,,,original
1181,Dibutyl Phthalate,True,,,original
1182,Salbutamol,True,,,original
1183,Magnoflorine,True,,,original
1184,S-Adenosyl-L-Homocysteine,True,,,original
1185,1-Methylxanthine,True,,,original
1186,Vanadium,True,,,original
1187,5-Methoxytryptamine,True,,,original
1188,Parthenolide,True,,,original
1189,Lanosterol,True,,,original
1190,Ricinoleic Acid,True,,,original
1191,2-Methoxyphenol,True,,,original
1192,1-Hexanol,True,,,original
1193,Baicalein,True,,,original
1194,Aesculetin,True,,,original
1195,4-Nitrophenol,True,,,original
