head	relation	tail
Quinagolide	activates	DRD1
Cabergoline	activates	DRD5
Stiripentol	activates	GABRA1
Ziprasidone	activates	HTR1A
Cabergoline	activates	HTR2C
Reteplase	activates	PLG
Estradiol cypionate	activates	GPER1
Seladelpar	activates	PPARD
Cyclophosphamide	activates	NR1I2
Lisdexamfetamine	activates	TAAR1
Bezafibrate	activates	NR1I2
Interferon beta-1b	activates	IFNAR2
Tretinoin	activates	RXRB
Methacholine	activates	CHRM3
Alitretinoin	activates	RARG
Levocarnitine	activates	CPT1A
Amitriptyline	activates	OPRK1
Melatonin	activates	MTNR1B
Bromocriptine	activates	HTR1B
Isosorbide mononitrate	activates	GUCY1A2
Xanomeline	activates	CHRM5
Metreleptin	activates	LEPR
Apomorphine	activates	ADRA2C
Raloxifene	activates	ESR1
Cariprazine	activates	HTR1A
Sodium oxybate	activates	GABBR1
Isotretinoin	activates	RARG
Liotrix	activates	THRB
Ketamine	activates	OPRK1
Cannabidiol	activates	TRPM8
Progesterone	activates	ESR2
Aripiprazole	activates	HTR2B
Heparin	activates	FGF1
Indomethacin	activates	PPARG
Hydromorphone	activates	OPRM1
Metoclopramide	activates	CHRM1
Cabergoline	activates	DRD1
Fluoxymesterone	activates	AR
Morphine	activates	OPRD1
Vosoritide	activates	NPR2
Tasimelteon	activates	MTNR1B
Clonidine	activates	ADRA2B
Mesalazine	activates	PPARG
Fenfluramine	activates	HTR1A
Apomorphine	activates	DRD2
Pseudoephedrine	activates	ADRA1A
Droxidopa	activates	ADRB1
Interferon beta-1a	activates	IFNAR2
Pergolide	activates	DRD4
Norethisterone	activates	NR3C1
Diamorphine	activates	OPRK1
Peginterferon alfa-2a	activates	IFNAR2
Quetiapine	activates	HTR1A
Levodopa	activates	DRD3
Progesterone	activates	ESR1
Clomifene	activates	ESR1
Brexpiprazole	activates	DRD2
Zinc sulfate, unspecified form	activates	S100A2
Norgestrel	activates	AR
Eltrombopag	activates	MPL
Insulin icodec	activates	IGF1R
Ergotamine	activates	HTR1A
Defibrotide	activates	ADORA1
Dihydroergotamine	activates	HTR1D
Zopiclone	activates	TSPO
Spironolactone	activates	PGR
Pergolide	activates	ADRA1D
Testosterone undecanoate	activates	AR
Interferon alfa-n1	activates	IFNAR1
Racepinephrine	activates	ADRA1B
Nimodipine	activates	AHR
Bethanechol	activates	CHRM1
Esketamine	activates	BDNF
Insulin icodec	activates	INSR
Fenofibric acid	activates	NR1I2
Pimavanserin	activates	HTR2C
Calcium citrate	activates	CHP1
Avatrombopag	activates	MPL
Dihydroergotamine	activates	ADRA1A
Peginterferon alfa-2b	activates	IFNAR2
Gemfibrozil	activates	LPL
Ivermectin	activates	GluClX
Budesonide	activates	NR3C1
Iloprost	activates	PTGER2
Methacholine	activates	CHRM4
Repaglinide	activates	PPARG
Almotriptan	activates	HTR1B
Cabergoline	activates	HTR2A
Alfacalcidol	activates	VDR
Semaglutide	activates	GLP1R
Methacholine	activates	CHRM2
Ferric cation	activates	TFRC
Defibrotide	activates	ADORA2B
Treprostinil	activates	PTGER2
Dihydroergotamine	activates	HTR1A
Tramadol	activates	OPRD1
Valproic acid	activates	PPARD
Pergolide	activates	HTR2A
Bromocriptine	activates	DRD3
Methylergometrine	activates	HTR2B
Brexpiprazole	activates	DRD3
Etafedrine	activates	ADRB2
Naratriptan	activates	HTR1A
Yohimbine	activates	HTR1B
Frovatriptan	activates	HTR1D
Yohimbine	activates	HTR1D
Clofibrate	activates	LPL
Levodopa	activates	DRD2
Zinc sulfate, unspecified form	activates	SERPIND1
Levocarnitine	activates	CPT1B
Xanomeline	activates	CHRM1
