head	relation	tail
Imipramine	inhibits	CHRM3
Olanzapine	inhibits	CYP3A4
Tipranavir	inhibits	SLCO1B1
(E)-3-(4-Hydroxyphenyl)-2-propenal	inhibits	Solute carrier organic anion transporter family member 1B3
Etidronic acid	inhibits	PTPRS
Desvenlafaxine	inhibits	SLC6A4
Acetylsalicylic acid	inhibits	PTGS2
Istradefylline	inhibits	ADORA1
AST-487	inhibits	Proto-oncogene tyrosine-protein kinase receptor Ret
Rucaparib	inhibits	CYP3A4
Pralsetinib	inhibits	CYP3A4
Proguanil	inhibits	CYP2D6
Thiopental	inhibits	GRIA2
Tranylcypromine	inhibits	MAOB
Paritaprevir	inhibits	UGT1A1
Flumazenil	inhibits	GABRA5
Stiripentol	inhibits	CYP2B6
Disopyramide	inhibits	CHRM2
Fluoxetine	inhibits	CYP3A4
Fluoxetine	inhibits	CHRNA3
Doxepin	inhibits	CHRM4
Everolimus	inhibits	SLCO1B1
Acetaminophen	inhibits	ABCB1
Abiraterone	inhibits	CYP3A4
Epifriedelin	inhibits	Solute carrier organic anion transporter family member 1B1
Luteolin 7-(2''-glucuronylglucuronide) 4'-glucuronide	inhibits	Cytochrome P450 1B1
Chalcone	inhibits	Cytochrome P450 1B1
Avacopan	inhibits	C5AR1
Lumacaftor	inhibits	CYP2C9
Brincidofovir	inhibits	CYP1A2
Thiotepa	inhibits	CYP2B6
Valaciclovir	inhibits	SLC15A1
Lenalidomide	inhibits	TNF
Diclofenac	inhibits	ABCC4
Liothyronine	inhibits	SLCO4A1
Tamarixetin	inhibits	Cytochrome P450 1A2
Celiprolol	inhibits	ADRA2A
Tannase	inhibits	Cytochrome P450 3A4
Nicotine	inhibits	CHAT
Phenindione	inhibits	VKORC1
5,7-Dimethoxyisoflavone	inhibits	Solute carrier organic anion transporter family member 1B1
PEMETREXED DISODIUM	inhibits	Trifunctional purine biosynthetic protein adenosine-3
Saquinavir	inhibits	SLC22A1
Abciximab	inhibits	ITGB3
Benserazide	inhibits	DDC
Telmisartan	inhibits	CYP2C19
Propafenone	inhibits	SCN5A
Methyl dihydrojasmonate	inhibits	Solute carrier organic anion transporter family member 1B1
CRENOLANIB	inhibits	Receptor-type tyrosine-protein kinase FLT3
Dexmethylphenidate	inhibits	SLC6A4
Glycopyrronium	inhibits	CHRM2
Cannabidiol	inhibits	ACAT1
Estriol	inhibits	Solute carrier organic anion transporter family member 1B3
Ziftomenib	inhibits	MEN1
Zonisamide	inhibits	SCN11A
Asciminib	inhibits	CYP3A4
AT-13148	inhibits	MAP kinase-activated protein kinase 2
Loratadine	inhibits	Cytochrome P450 2C8
Escitalopram	inhibits	CYP2D6
Zinc sulfate, unspecified form	inhibits	C3
Doxorubicin	inhibits	ABCB1
Paclitaxel	inhibits	ABCC1
Doxazosin	inhibits	KCNH2
Piroxicam	inhibits	PTGS1
Abrocitinib	inhibits	TYK2
Alpelisib	inhibits	PIK3CA
Acetaminophen	inhibits	Cytochrome P450 3A4
Lercanidipine	inhibits	CYP2D6
Ponatinib	inhibits	ABCG2
Benzatropine	inhibits	SLC6A3
5-Aminopentanoic acid	inhibits	Cytochrome P450 2D6
Lithocholyltaurine	inhibits	Solute carrier organic anion transporter family member 1B1
Deucravacitinib	inhibits	SLCO1B3
Naloxone	inhibits	OPRM1
Acetazolamide	inhibits	CA1
Desvenlafaxine	inhibits	CYP3A4
Nirogacestat	inhibits	ABCB1
Apigenin	inhibits	Solute carrier organic anion transporter family member 1B3
Fedratinib	inhibits	SLCO1B3
Methotrexate	inhibits	ABCC2
Chrysoeriol	inhibits	Cytochrome P450 1B1
Progesterone	inhibits	Solute carrier organic anion transporter family member 1B3
Crofelemer	inhibits	CFTR
Oxybutynin	inhibits	CYP2C8
Prazosin	inhibits	ABCB1
Brincidofovir	inhibits	POLD1
Ticagrelor	inhibits	CYP2C9
BREPOCITINIB	inhibits	Non-receptor tyrosine-protein kinase TYK2
6-Hydroxyluteolin 6,7,3',4'-tetramethyl ether	inhibits	Cytochrome P450 1A1
Acacetin	inhibits	Cytochrome P450 1A2
Fostamatinib	inhibits	EIF2AK4
Fostamatinib	inhibits	SIK3
4-Nonylphenol	inhibits	Solute carrier organic anion transporter family member 1B3
Mirdametinib	inhibits	MAP2K1
Enalapril	inhibits	SLC22A6
Stiripentol	inhibits	CYP1A2
Carvedilol	inhibits	SELE
Grepafloxacin	inhibits	ABCB1
Nelfinavir	inhibits	SLC22A1
Ranitidine	inhibits	CYP2D6
Atazanavir	inhibits	CYP3A4
Etidronic acid	inhibits	SLC25A6
Albendazole	inhibits	TUBA1A
OMIPALISIB	inhibits	Serine/threonine-protein kinase mTOR
Vardenafil	inhibits	CYP2C8
Atorvastatin	inhibits	CYP2C8
Relugolix	inhibits	GNRHR
Nicardipine	inhibits	CYP2C9
CEP-1347	inhibits	Mitogen-activated protein kinase kinase kinase 12
Relugolix	inhibits	ABCB1
Argatroban	inhibits	F2
Quetiapine	inhibits	HTR6
Haloperidol	inhibits	ABCB1
Capecitabine	inhibits	TMP1
Lithium carbonate	inhibits	GSK3A
Probenecid	inhibits	SLC22A2
Ranolazine	inhibits	SCN1A
Nelfinavir	inhibits	ABCB1
Flavoxate	inhibits	CHRM5
Sitaxentan	inhibits	EDNRA
Acamprosate	inhibits	GRIN1
quinolinate	inhibits	Solute carrier organic anion transporter family member 1B3
Gallocatechin-(4alpha->8)-gallocatechin-(4alpha->8)-gallocatechin	inhibits	Solute carrier organic anion transporter family member 1B1
Celiprolol	inhibits	ADRB1
Chloroquine	inhibits	HMGB1
Nimodipine	inhibits	CACNB3
ENCORAFENIB	inhibits	Serine/threonine-protein kinase B-raf
Ruxolitinib	inhibits	PLAUR
Nortriptyline	inhibits	CYP2E1
Deferasirox	inhibits	CYP2C8
Osilodrostat	inhibits	SLC22A6
Demethylnobiletin	inhibits	Cytochrome P450 3A4
Osilodrostat	inhibits	CYP2E1
Pralsetinib	inhibits	FGFR2
(2E,6E)-Farnesol	inhibits	Solute carrier organic anion transporter family member 1B1
Apigenin	inhibits	Solute carrier organic anion transporter family member 1B1
RG-1530	inhibits	Serine/threonine-protein kinase PLK4
Butabarbital	inhibits	GRIA1
Chloroquine	inhibits	TLR9
Gatifloxacin	inhibits	parE
Escitalopram	inhibits	ADRA2A
Valproic acid	inhibits	SLC22A6
Chrysin	inhibits	Cytochrome P450 3A4
Interferon beta-1b	inhibits	CYP1A2
Brompheniramine	inhibits	CHRM3
Glimepiride	inhibits	KCNJ1
Iloperidone	inhibits	ADRB1
Trazodone	inhibits	Htr2c
Fd&c red no. 40, calcium lake	inhibits	Solute carrier organic anion transporter family member 1B1
Carvedilol	inhibits	XDH
Desipramine	inhibits	CHRM1
Fostamatinib	inhibits	DDR1
Azelaic acid	inhibits	AKR1D1
Dronedarone	inhibits	ADRA1B
PEMETREXED DIPOTASSIUM	inhibits	Trifunctional purine biosynthetic protein adenosine-3
Brexpiprazole	inhibits	SLC47A2
Rolapitant	inhibits	TACR1
AMP	inhibits	Solute carrier organic anion transporter family member 1B1
Albendazole	inhibits	fccA
Simvastatin	inhibits	CYP2B6
Fingolimod	inhibits	HDAC1
Aprepitant	inhibits	CYP3A4
Fostamatinib	inhibits	MAP2K3
Imipramine	inhibits	Cytochrome P450 2D6
Procainamide	inhibits	SLC22A2
Flecainide	inhibits	RYR2
Kinetin	inhibits	Solute carrier organic anion transporter family member 1B1
Milnacipran	inhibits	SLC6A2
Vardenafil	inhibits	CYP3A4
Lazertinib	inhibits	SLC22A1
Nobiletin	inhibits	Solute carrier organic anion transporter family member 1B3
Brincidofovir	inhibits	POLB
Ketoconazole	inhibits	CYP1A2
Spinacetin 3-O-glucosyl-(1->6)-[apiosyl(1->2)]-glucoside	inhibits	Solute carrier organic anion transporter family member 1B1
Propafenone	inhibits	ADRB1
Saquinavir	inhibits	pol
Mifepristone	inhibits	CYP3A4
Bosutinib	inhibits	LYN
Fd&c green no. 3, aluminum lake	inhibits	Solute carrier organic anion transporter family member 1B3
Bromocriptine	inhibits	ABCB1
Osilodrostat	inhibits	CYP3A4
Prednisone	inhibits	SLCO1A2
Maprotiline	inhibits	CHRM4
Desvenlafaxine	inhibits	SLC6A3
Selpercatinib	inhibits	CYP2C8
Enkephalin L	inhibits	Solute carrier organic anion transporter family member 1B3
Sertraline	inhibits	Cytochrome P450 2D6
Pacritinib	inhibits	SLC22A2
Lamotrigine	inhibits	ADORA2A
Amoxapine	inhibits	CYP2D6
DASATINIB	inhibits	Bcr/Abl fusion protein
Luteolin 7-(caffeoylglucoside)	inhibits	Cytochrome P450 1B1
Gemifloxacin	inhibits	parC
Orphenadrine	inhibits	HRH1
Estradiol acetate	inhibits	SLCO2B1
Diosmin	inhibits	ABCB1
IMATINIB MESYLATE	inhibits	Tyrosine-protein kinase ABL1
Ziprasidone	inhibits	DRD4
Melagatran	inhibits	F2
Acepromazine	inhibits	DRD2
Clomipramine	inhibits	ABCB1
MK-8353	inhibits	Mitogen-activated protein kinase 3
Neratinib	inhibits	EGFR
Escitalopram	inhibits	Cytochrome P450 3A4
Naloxone	inhibits	SLCO1A2
Imatinib	inhibits	CYP2C9
Fostamatinib	inhibits	PKN2
LOMITAPIDE MESYLATE	inhibits	Microsomal triglyceride transfer protein
Prednisolone	inhibits	SLCO1A2
Meloxicam	inhibits	PTGS1
Romidepsin	inhibits	SLCO1B3
Nateglinide	inhibits	SLC22A6
BATOPROTAFIB	inhibits	Tyrosine-protein phosphatase non-receptor type 11
Entrectinib	inhibits	NTRK3
Valproic acid	inhibits	SLC22A5
Thioproperazine	inhibits	DRD1
Elafibranor	inhibits	ABCB11
Cefoperazone	inhibits	mrcB
Fostamatinib	inhibits	PAK2
Propafenone	inhibits	CYP2D6
Medroxyprogesterone acetate	inhibits	CYP2C8
Dronedarone	inhibits	CACNA1S
JNJ-26483327	inhibits	Proto-oncogene tyrosine-protein kinase Src
Butabarbital	inhibits	GRIK1
Fostamatinib	inhibits	CSF1R
Fostamatinib	inhibits	PLK2
Paeonol	inhibits	Cytochrome P450 3A4
Tolbutamide	inhibits	SLC15A1
alpha-Sitosterol	inhibits	Solute carrier organic anion transporter family member 1B3
Azelastine	inhibits	CYP2C9
Darunavir	inhibits	CYP3A4
7-Ketocholesterol	inhibits	Solute carrier organic anion transporter family member 1B1
Chrysoeriol 7-triglucuronide	inhibits	Cytochrome P450 1B1
Terazosin	inhibits	ABCB1
Bicalutamide	inhibits	CYP3A4
(9Z)-beta,beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
N-Acetylarylamine	inhibits	Solute carrier organic anion transporter family member 1B1
Fluconazole	inhibits	ABCB1
Imidacloprid	inhibits	Solute carrier organic anion transporter family member 1B3
Baricitinib	inhibits	ABCG2
Letermovir	inhibits	ABCG2
3,4',7-Trihydroxyflavone	inhibits	Cytochrome P450 2C9
Fedratinib	inhibits	CYP2D6
Nalmefene	inhibits	OPRM1
Zanubrutinib	inhibits	BTK
Clofazimine	inhibits	KCNA3
Terbinafine	inhibits	SQLE
Amisulpride	inhibits	DRD2
Prochlorperazine	inhibits	HRH1
Nicardipine	inhibits	CHRM2
CRIZOTINIB	inhibits	Macrophage-stimulating protein receptor
Fostamatinib	inhibits	SYK
Alogliptin	inhibits	DPP4
Clindamycin	inhibits	CYP3A4
Cimetidine	inhibits	SLC22A5
Epismilagenin	inhibits	Solute carrier organic anion transporter family member 1B3
Tafenoquine	inhibits	SLC47A2
Bergapten	inhibits	Cytochrome P450 2C19
NERATINIB MALEATE	inhibits	Receptor tyrosine-protein kinase erbB-2
Tranexamic acid	inhibits	PLG
Colchicine	inhibits	CYP2B6
Dipyridamole	inhibits	PDE5A
Camostat	inhibits	ST14
CRIZOTINIB	inhibits	Proto-oncogene tyrosine-protein kinase ROS
Tomatine	inhibits	Solute carrier organic anion transporter family member 1B1
Nitrofurantoin	inhibits	rpsJ
Sulphadimethoxine	inhibits	Solute carrier organic anion transporter family member 1B1
Famotidine	inhibits	SLC22A8
Kojic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Vemurafenib	inhibits	CYP2D6
Diflunisal	inhibits	SLC22A6
Quinapril	inhibits	ACE
Dronabinol	inhibits	CYP1B1
Lenalidomide	inhibits	CRBN
Medroxyprogesterone acetate	inhibits	ABCB1
Ethinylestradiol	inhibits	ABCB11
BRIMAPITIDE, C-TERMINAL ACID	inhibits	Mitogen-activated protein kinase 10
Copanlisib	inhibits	PIK3CG
Citalopram	inhibits	CYP3A4
Ethinylestradiol	inhibits	ABCC2
Fostamatinib	inhibits	ERBB2
Vamorolone	inhibits	NR3C2
Desipramine	inhibits	CYP2D6
Haloperidol	inhibits	HTR7
Amoxapine	inhibits	SLC6A2
Lenvatinib	inhibits	CYP3A4
Nortriptyline	inhibits	Htr2c
Capivasertib	inhibits	SLC22A2
Remibrutinib	inhibits	SLCO1B1
Rifampin	inhibits	SLCO1B3
Levofloxacin	inhibits	SLC47A1
Abemaciclib	inhibits	CYP1A2
Osilodrostat	inhibits	SLCO1B1
Brentuximab vedotin	inhibits	CYP3A4
Doxorubicin	inhibits	ABCC6
Avapritinib	inhibits	ABCG2
Ampicillin	inhibits	pbpA
Danazol	inhibits	SHBG
Simeprevir	inhibits	CYP1A2
Rilpivirine	inhibits	CYP3A4
Mitapivat	inhibits	CYP19A1
Ribavirin	inhibits	IMPDH1
Brexanolone	inhibits	GABRG2
Cimetidine	inhibits	CYP2D6
Glycopyrronium	inhibits	CHRM1
Tezacaftor	inhibits	ABCB1
Oxyphenbutazone	inhibits	SLC22A6
Norharman	inhibits	Solute carrier organic anion transporter family member 1B1
Cyclosporine	inhibits	ABCC2
Abemaciclib	inhibits	SLC47A1
Ziprasidone	inhibits	DRD3
Clotrimazole	inhibits	Cytochrome P450 2C19
Abciximab	inhibits	ITGA2B
Levamlodipine	inhibits	SLC10A2
Fostamatinib	inhibits	MYLK4
Chinese tannin	inhibits	Solute carrier organic anion transporter family member 1B3
Fostamatinib	inhibits	PDGFRA
Ranitidine	inhibits	ACHE
4E,15Z-Bilirubin IXa	inhibits	Solute carrier organic anion transporter family member 1B3
Mavorixafor	inhibits	SLC22A2
Sertraline	inhibits	SLC29A4
Cefuroxime	inhibits	pbpA
GSK-690693	inhibits	cAMP-dependent protein kinase (PKA)
Quercitrin	inhibits	Solute carrier organic anion transporter family member 1B1
Paroxetine	inhibits	CHRM1
Sevabertinib	inhibits	ABCB1
Ezetimibe	inhibits	SOAT1
Pimpinellidine	inhibits	Cytochrome P450 3A4
Darolutamide	inhibits	ABCG2
Nicotine	inhibits	CYP2A6
Zuclopenthixol	inhibits	DRD2
Estriol	inhibits	Solute carrier organic anion transporter family member 1B1
Avelumab	inhibits	CD274
Haloperidol	inhibits	HTR2A
Voriconazole	inhibits	CYP3A7
Epifriedelin	inhibits	Solute carrier organic anion transporter family member 1B3
Pindolol	inhibits	HTR1B
Cyclobenzaprine	inhibits	HTR7
Perindopril	inhibits	BCHE
Tegafur	inhibits	TYMS
Indomethacin	inhibits	SLC22A11
Lenvatinib	inhibits	SLC22A8
Dexchlorpheniramine maleate	inhibits	HRH1
Propranolol	inhibits	CYP2D6
Ritonavir	inhibits	CYP3A4
Regorafenib	inhibits	CSF1R
Ursodeoxycholic acid	inhibits	SLCO1A2
Acetazolamide	inhibits	CA14
Procainamide	inhibits	SLC22A4
Gatifloxacin	inhibits	gyrB
Tipiracil	inhibits	TYMP
Melatonin	inhibits	CYP19A1
(Z)-Resveratrol	inhibits	Cytochrome P450 3A4
TORCETRAPIB	inhibits	Cholesteryl ester transfer protein
Desipramine	inhibits	SLC22A2
Ivermectin	inhibits	ABCC2
Levofloxacin	inhibits	SLC22A1
Doxepin	inhibits	HRH2
Isopimpinellin	inhibits	Cytochrome P450 2C19
Paliperidone	inhibits	HTR7
Acetylsalicylic acid	inhibits	TNFAIP6
Methyldopa	inhibits	Solute carrier organic anion transporter family member 1B3
Legumelin	inhibits	Cytochrome P450 2D6
Deoxyadenosine	inhibits	Solute carrier organic anion transporter family member 1B1
Stiripentol	inhibits	LDHB
Abemaciclib	inhibits	CYP2C9
Bosutinib	inhibits	CAMK2G
Mercaptopurine	inhibits	PPAT
Opicapone	inhibits	COMT
Tenofovir disoproxil	inhibits	ABCB1
Fostamatinib	inhibits	CTSS
Flumazenil	inhibits	TSPO
Istradefylline	inhibits	SLC22A6
AZD-6703	inhibits	Mitogen-activated protein kinase 14
Sertraline	inhibits	Cytochrome P450 2C19
Melatonin	inhibits	NQO2
Clomifene	inhibits	CYP17A1
Voclosporin	inhibits	PPP3CA
Dalfampridine	inhibits	KCND3
Paroxetine	inhibits	CYP3A4
Mefenamic acid	inhibits	CYP1A2
Perphenazine	inhibits	CALM1
Gepotidacin	inhibits	SLC47A2
Nilotinib	inhibits	ABL1
Momelotinib	inhibits	UGT1A9
Darifenacin	inhibits	CHRM5
Disopyramide	inhibits	CHRM3
Thioridazine	inhibits	KCNH2
Ginkgo biloba	inhibits	CYP2C9
IDASANUTLIN	inhibits	Tumour suppressor p53/oncoprotein Mdm2
Sildenafil	inhibits	ABCC10
Procyclidine	inhibits	CHRM5
Apigenin	inhibits	Cytochrome P450 1B1
Viloxazine	inhibits	HRH1
Verapamil	inhibits	CACNG1
Remibrutinib	inhibits	CYP2C8
Haloperidol	inhibits	CHRM3
Protein S human	inhibits	F5
Fostamatinib	inhibits	SIK2
1-(3,4-Dimethoxyphenyl)-4-decen-3-one	inhibits	Cytochrome P450 1A2
Diclofenamide	inhibits	CA7
Clozapine	inhibits	CHRM5
Hydroxychloroquine	inhibits	ABCB1
Dexamethasone	inhibits	CYP1A1
Hyoscyamine	inhibits	CHRM4
Risperidone	inhibits	HTR7
Flupentixol	inhibits	HTR2C
Pazopanib	inhibits	CYP2D6
Bosutinib	inhibits	MAP3K2
Luteolin 7-diglucoside	inhibits	Cytochrome P450 3A4
Aripiprazole	inhibits	ABCB1
Encorafenib	inhibits	CYP3A4
1-aminocyclopropane-1-carboxylate	inhibits	Solute carrier organic anion transporter family member 1B3
Cannabidiol	inhibits	FAAH
Opicapone	inhibits	CYP2C9
Cyclandelate	inhibits	CACNA2D1
(13Z)-beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
Buspirone	inhibits	DRD4
Regorafenib	inhibits	KIT
Fostamatinib	inhibits	MAP2K5
Cefadroxil	inhibits	pbpA
MK-2206	inhibits	Serine/threonine-protein kinase AKT
Momelotinib	inhibits	JAK2
Pantoprazole	inhibits	DDAH1
Luteolin 7-(caffeoylglucoside)	inhibits	Cytochrome P450 1A2
Cannabidiol	inhibits	CYP2A6
Indomethacin	inhibits	ABCC2
Isoliquiritigenin	inhibits	Cytochrome P450 3A4
Fostamatinib	inhibits	TAOK1
Brensocatib	inhibits	SLC47A1
Phenelzine	inhibits	CYP3A4
Norfloxacin	inhibits	CYP1A1
Bupropion	inhibits	Solute carrier organic anion transporter family member 1B3
Chlorpheniramine	inhibits	SLC22A2
Maraviroc	inhibits	CCR5
LY-3009120	inhibits	Serine/threonine-protein kinase A-Raf
(R)-Methysticin	inhibits	Cytochrome P450 3A4
TANZISERTIB	inhibits	Mitogen-activated protein kinase 10
Viloxazine	inhibits	HRH2
Dexamethasone	inhibits	SLCO1A2
BOSUTINIB MONOHYDRATE	inhibits	Bcr/Abl fusion protein
ABROCITINIB	inhibits	Tyrosine-protein kinase JAK1
Midostaurin	inhibits	KDR
Rimegepant	inhibits	SLC22A8
Azelastine	inhibits	CYP1A1
Erdafitinib	inhibits	FGFR1
Nicardipine	inhibits	CYP3A4
PEXIDARTINIB HYDROCHLORIDE	inhibits	Receptor-type tyrosine-protein kinase FLT3
Baricitinib	inhibits	SLC47A2
PERHEXILINE MALEATE	inhibits	Serine/threonine-protein kinase mTOR
Clozapine	inhibits	HTR7
Monoammonium glutamate	inhibits	Cytochrome P450 2D6
Nitrendipine	inhibits	CACNA1C
Probenecid	inhibits	SLCO1A2
Fenfluramine	inhibits	CYP2D6
Orphenadrine	inhibits	SLC6A2
Pazopanib	inhibits	FLT4
Apigenin	inhibits	Cytochrome P450 3A4
Gibberellins	inhibits	Solute carrier organic anion transporter family member 1B1
Vismodegib	inhibits	ABCG2
Glycyrrhetic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Atazanavir	inhibits	UGT1A1
Enasidenib	inhibits	IDH1
p,p'-DDE	inhibits	Solute carrier organic anion transporter family member 1B3
Brexpiprazole	inhibits	HTR2B
Methotrimeprazine	inhibits	ADRA2B
Dronedarone	inhibits	KCNJ3
Terfenadine	inhibits	CYP2D6
Hesperetin	inhibits	Cytochrome P450 2D6
Mecasermin	inhibits	IGFBP3
Olanzapine	inhibits	DRD4
Ergoloid mesylate	inhibits	ADRA1A
Fondaparinux	inhibits	F10
Fostamatinib	inhibits	MAP3K13
Lonafarnib	inhibits	ABCG2
Ketoconazole	inhibits	KCNH2
Yamogenin	inhibits	Solute carrier organic anion transporter family member 1B3
Trifluoperazine	inhibits	DRD2
Zongertinib	inhibits	ABCG2
Phenindamine	inhibits	HRH1
Sulfamethizole	inhibits	folP
Rimegepant	inhibits	SLCO1B1
Pralsetinib	inhibits	DDR1
Fostamatinib	inhibits	TGFBR2
(S)-Laudanosine	inhibits	Solute carrier organic anion transporter family member 1B1
Flumazenil	inhibits	GABRA1
Chlorzoxazone	inhibits	CYP3A4
Pretomanid	inhibits	pcaA
Indomethacin	inhibits	ABCC4
[6]-Paradol	inhibits	Cytochrome P450 2C19
Tipranavir	inhibits	ABCB11
Miglitol	inhibits	GANC
Fostamatinib	inhibits	MAP4K4
Betrixaban	inhibits	KCNH2
Capsaicin	inhibits	Cytochrome P450 2C19
Nefazodone	inhibits	CYP2D6
Pomalidomide	inhibits	PTGS2
Aripiprazole	inhibits	HRH1
Regorafenib	inhibits	ABCG2
Hydrochlorothiazide	inhibits	Cytochrome P450 2C9
Topotecan	inhibits	TOP1
Biochanin A	inhibits	Cytochrome P450 2C19
Zoliflodacin	inhibits	SLC22A6
Carbamazepine	inhibits	CYP2C19
Baicalein	inhibits	Cytochrome P450 1A1
Pralsetinib	inhibits	JAK2
Tamoxifen	inhibits	CES1
Linezolid	inhibits	MAOA
Paliperidone	inhibits	DRD2
Esomeprazole	inhibits	ABCB1
Methotrexate	inhibits	ATIC
Nafcillin	inhibits	penA
Alectinib	inhibits	ALK
SUNITINIB	inhibits	Proto-oncogene tyrosine-protein kinase receptor Ret
Proguanil	inhibits	PDF
ferulate	inhibits	Solute carrier organic anion transporter family member 1B3
Atorvastatin	inhibits	HMGCR
Citalopram	inhibits	CYP1A2
CT-1578	inhibits	Tyrosine-protein kinase JAK2
Cabozantinib	inhibits	TEK
Rhamnoisoliquiritin	inhibits	Cytochrome P450 3A4
Deoxycholic acid glycine conjugate	inhibits	Solute carrier organic anion transporter family member 1B1
Fostamatinib	inhibits	NEK3
Fostamatinib	inhibits	MST1R
Hydroflumethiazide	inhibits	CA1
Tetrahydrocortisone	inhibits	Solute carrier organic anion transporter family member 1B3
Pazopanib	inhibits	UGT1A1
Fexinidazole	inhibits	SLCO1B3
Diosmetin	inhibits	Solute carrier organic anion transporter family member 1B3
Methotrimeprazine	inhibits	HTR2C
Thioridazine	inhibits	CYP2E1
Atrasentan	inhibits	EDNRA
Probenecid	inhibits	ABCC11
BINIMETINIB	inhibits	Dual specificity mitogen-activated protein kinase kinase 2
Ibrexafungerp	inhibits	RHO1
Estrone	inhibits	SLCO1A2
Pirfenidone	inhibits	CYP3A4
MONOMETHYL FUMARATE	inhibits	Kelch-like ECH-associated protein 1
Darunavir	inhibits	CYP2D6
Coumarin	inhibits	CA14
FOSTAMATINIB DISODIUM	inhibits	Tyrosine-protein kinase SYK
Kaempferol	inhibits	Cytochrome P450 2D6
Dasatinib	inhibits	STAT5B
Tucatinib	inhibits	SLC47A2
Ketoconazole	inhibits	CYP17A1
Probenecid	inhibits	SLC22A7
BOSUTINIB	inhibits	Tyrosine-protein kinase ABL1
Fd&c blue no. 2, calcium lake	inhibits	Solute carrier organic anion transporter family member 1B3
4-Methylphenol	inhibits	Solute carrier organic anion transporter family member 1B3
Atogepant	inhibits	SLC22A1
Sorafenib	inhibits	RET
BMS-582949	inhibits	Mitogen-activated protein kinase 14
Tezacaftor	inhibits	CYP2C19
Olanzapine	inhibits	ADRB1
Omadacycline	inhibits	rpsN
Emtricitabine	inhibits	pol
Voclosporin	inhibits	PPP3R2
Isoniazid	inhibits	CYP2A6
Edetic acid	inhibits	PON3
Nortriptyline	inhibits	CYP2D6
Lomefloxacin	inhibits	CYP1A2
Lignans	inhibits	Solute carrier organic anion transporter family member 1B1
Valproic acid	inhibits	SCN1A
Tolterodine	inhibits	CHRM1
Lovastatin	inhibits	HDAC2
Fostamatinib	inhibits	CSNK2A2
Isorhamnetin	inhibits	Cytochrome P450 1A1
Abemaciclib	inhibits	SLC47A2
Sorafenib	inhibits	ABCC2
Pralsetinib	inhibits	NTRK3
Larotrectinib	inhibits	NTRK2
Oseltamivir	inhibits	NEU1
Gemfibrozil	inhibits	CYP2C8
Selpercatinib	inhibits	FGFR2
Yohimbine	inhibits	ADRA2C
Isavuconazole	inhibits	CYP2D6
Paroxetine	inhibits	CYP2C9
Dronabinol	inhibits	CYP3A5
Tiratricol	inhibits	SLC10A1
loganin	inhibits	Solute carrier organic anion transporter family member 1B1
Acalabrutinib	inhibits	CYP3A4
Ceftibuten	inhibits	mrcA
Primaquine	inhibits	CYP3A4
Cefaclor	inhibits	pbp3
Tepotinib	inhibits	SLC47A2
Ponatinib	inhibits	FLT3
TAS0612	inhibits	Ribosomal protein S6 kinase (P70S6K)
Methadone	inhibits	CHRNA4
Fostamatinib	inhibits	STK35
Fostamatinib	inhibits	TYRO3
Bendroflumethiazide	inhibits	TPMT
Brincidofovir	inhibits	SLC22A6
SELPERCATINIB	inhibits	Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET
VODOBATINIB	inhibits	Tyrosine-protein kinase ABL1
Duloxetine	inhibits	SLC6A4
Gilteritinib	inhibits	SLC47A1
Betrixaban	inhibits	F10
Probenecid	inhibits	ABCC1
Memantine	inhibits	CHRNA7
Fluphenazine	inhibits	CYP2D6
Afatinib	inhibits	ERBB4
Diethylpropion	inhibits	SLC6A4
Luteolin 7-disulfoglucoside	inhibits	Cytochrome P450 1A1
Doxorubicin	inhibits	TOP2A
PF-03758309	inhibits	Serine/threonine-protein kinase PAK 4
NAPORAFENIB	inhibits	B-raf/RAF proto-oncogene serine/threonine-protein kinase
Balsalazide	inhibits	ALOX5
Progesterone	inhibits	SLCO1B1
Asenapine	inhibits	ADRB1
Ripretinib	inhibits	PDGFRB
Entacapone	inhibits	CYP2D6
Capivasertib	inhibits	AKT1
Dacomitinib	inhibits	EGFR
Quinidine	inhibits	CYP3A4
Chlorzoxazone	inhibits	CYP2E1
Lenvatinib	inhibits	CYP2C9
Saquinavir	inhibits	SLCO2B1
Olsalazine	inhibits	XDH
Ibuprofen	inhibits	Solute carrier organic anion transporter family member 1B1
Remibrutinib	inhibits	BTK
Protein S human	inhibits	F10
[6]-Shogaol	inhibits	Cytochrome P450 2C9
Fumitremorgin C	inhibits	ATP-dependent translocase ABCB1
Eugenol	inhibits	Cytochrome P450 3A4
Sitaxentan	inhibits	CYP3A4
Sulfasalazine	inhibits	ABCG2
Prochlorperazine	inhibits	ADRA2A
Poly(divinylbenzene-co-trimethyl(vinylbenzyl)ammonium chloride)	inhibits	Solute carrier organic anion transporter family member 1B3
Pexidartinib	inhibits	SLCO1B3
Fostamatinib	inhibits	PRP4K
Mepyramine	inhibits	HRH1
Piperazine	inhibits	Solute carrier organic anion transporter family member 1B1
Ziprasidone	inhibits	DRD5
Fludarabine	inhibits	POLA1
Conjugated estrogens	inhibits	ABCC1
