head,relation,tail,weight,source,head_type,tail_type
"6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline",inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
"6-hydroxy-1-methyl-1,2,3,4-tetrahydro-beta-carboline",inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Dicoumarol,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Dicoumarol,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Dicoumarol,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
beta-Ionone,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Allantoin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Allantoin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Avocadyne 1-acetate,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Avocadyne 1-acetate,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
"(S,E)-Zearalenone",inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Ethyl linilenate,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Apiole,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Apiole,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Apiole,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Sulfadiazine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Sulfadiazine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
5-Methoxytryptamine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
5-Methoxytryptamine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Serotonin,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Sulfadimidine,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Sulfadimidine,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Genistein,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Genistein,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
