head,relation,tail,weight,source,head_type,tail_type
Fluvoxamine,inhibits,SLC6A4,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,KCNH2,1.0,drugbank,DRUG,TARGET
Fluvoxamine,inhibits,ABCB1,1.0,drugbank,DRUG,TARGET
Fluvoxamine,substrate_of,ABCB11,1.0,drugbank,DRUG,TARGET
Valsartan,substrate_of,CYP2C9,1.0,drugbank,DRUG,TARGET
Valsartan,inhibits,AGTR1,1.0,drugbank,DRUG,TARGET
Valsartan,substrate_of,SLCO1B3,1.0,drugbank,DRUG,TARGET
Valsartan,substrate_of,SLCO1B1,1.0,drugbank,DRUG,TARGET
Valsartan,inhibits,SLCO1B1,1.0,drugbank,DRUG,TARGET
Valsartan,substrate_of,ABCC2,1.0,drugbank,DRUG,TARGET
Ramipril,inhibits,BCHE,1.0,drugbank,DRUG,TARGET
Ramipril,inhibits,ACE,1.0,drugbank,DRUG,TARGET
Ramipril,activates,BDKRB1,1.0,drugbank,DRUG,TARGET
Ramipril,substrate_of,SLC15A1,1.0,drugbank,DRUG,TARGET
Ramipril,substrate_of,SLC15A2,1.0,drugbank,DRUG,TARGET
Baclofen,activates,GABBR2,1.0,drugbank,DRUG,TARGET
Baclofen,activates,GABBR1,1.0,drugbank,DRUG,TARGET
Baclofen,modulates,CXCR4,1.0,drugbank,DRUG,TARGET
Amphetamine,inhibits,CYP2A6,1.0,drugbank,DRUG,TARGET
Amphetamine,substrate_of,CYP2D6,1.0,drugbank,DRUG,TARGET
Amphetamine,inhibits,SLC18A2,1.0,drugbank,DRUG,TARGET
Amphetamine,modulates,SLC6A3,1.0,drugbank,DRUG,TARGET
Amphetamine,activates,CARTPT,1.0,drugbank,DRUG,TARGET
Amphetamine,activates,TAAR1,1.0,drugbank,DRUG,TARGET
Amphetamine,inhibits,MAOA,1.0,drugbank,DRUG,TARGET
Amphetamine,activates,SLC6A2,1.0,drugbank,DRUG,TARGET
Amphetamine,substrate_of,SLC6A2,1.0,drugbank,DRUG,TARGET
Amphetamine,activates,ADRA1A,1.0,drugbank,DRUG,TARGET
